Question	Answer	Annotation (Label)
¿Lo ha visto? ¿No es una belleza? Honestamente no puedo imaginarme amando a una persona tanto como adoro y venero al Jensen.	Me sacó de la carretera.	1
Me sacaste de la carretera. ¿Y encima te atreves a decir que es culpa mía?	Cuidado, viejo. Se está sonrojando un poco.	4
Buen trabajo.	Rogers, me he quedado sin cigarrillos.	6
¿Ganó alguna?	Detesto esta costumbre. Dejar a los hombres con su tabaco y sus historias.	6
¿Es la hora?	Empieza a servir.	1
¿Señora Rogers?	- Se ha indispuesto.	6
- ¿Una grabación?	- Se llama la canción del cisne.	1
¿Señorita Claythorne?	Aquí tiene.	1
¿Nada, entonces?	La señorita Brady era como familia para nosotros.	6
¿21 hombres?	Siempre he creído que alguien se iría de la lengua.	5
No deberíamos dignificar estas acusaciones con ningún debate. - ¿De acuerdo? 	- Ciertamente.	1
¿Estaba conduciendo, verdad? ¡Qué sorpresa!	Fue mala suerte, eso es todo.	1
- ¿Está bien? - ¡Se está asfixiando!	¡Está sangrando!	2
¿Puede venir, por favor?	Lleva muerta varias horas.	5
¿Está peor la señora Rogers?	Algo. 	1
- ¿Muerta?	- Murió mientras dormía.	1
Hay ocho, ¿no es así? Ocho figuras para las ocho personas presentes. Dígame que tengo razón. ¡Por favor dígame que tengo razón!	Estoy seguro de que hay una explicación perfectamente racional para esto.	4
¿Ha ido a remar, general?	¿Qué eres, Lombard? ¿Un mercenario? ¿Asesino a sueldo? ¿Un soldado?	6
¿Qué eres, Lombard? ¿Un mercenario? ¿Asesino a sueldo? ¿Un soldado? No de ningún ejército que reconozca, pero aún así, un soldado de algún tipo.	No necesita preocuparse de lo que soy.	4
Siempre hay un momento, ¿no? Antes del ataque, de avanzar, del bombardeo, del caos...Un momento de calma absoluta.	Escuche...	5
¿No parece esto como ese momento?	Nunca he sido un hombre calmado, general.	2
¿Rupert?	Lo siento, el agente Flemming no puede ponerse al teléfono ahora mismo.	5
Pero un agente de la Interpol es un poco arriesgado, ¿no?	Rupert debió tropezarse con algo con lo que Python no quería que se supiera.	1
¿Hablaste de verdad con Python? ¿Escuchaste la voz del cabrón al teléfono?	Sí.	1
Entonces si ha hecho esto antes, debéis tener esas otras armas.	Sí, seis.	1
¿Podemos hacerlo?	Rupert Flemming iba a reunirse con alguien, así que hice que la Interpol me mandara una imagen de su portátil.	6
¿Es posible que hackeara a la Interpol?	Eso es lo que estaba pensando.	1
No lo sé, ¿alguna historia sobre alguna aterradora bacteria que encontró?	Pero también nos diría que si no podemos encontrar una pista para las pruebas, tenemos que buscar lo que nos estamos perdiendo.	6
¿Apareció en la reunión?	No puedo quedar hoy. Demasiado arriesgado. Lo siento.	2
¿Tiene el nombre real de Python?	El anonimato lo es todo en la Deep Web.	4
¿Me estás pidiendo que no siga órdenes, Avery?	Te estoy pidiendo que esperes antes de hacerlas.	4
Oye, ¿no es ese uno de tus confidentes?	¡Fresh!	1
¿Tu familia es de Toulouse?	Sí.	1
Creo que eso va contra la ley o algo, ¿no?	Lo siento, Bernie, no hablo francés.	1
Perdón... ¿Estamos persiguiendo a un fantasma?	Más bien a una identidad virtual creada por un hacker.	2
¿Teddy? Quédate conmigo. Teddy, quédate conmigo.	Avery, no hay ningún tirador.	6
Python indudablemente está a la altura de su reputación, ¿no? 	El Pablo Escobar de la Deep Web.	1
¿Hemos tenido suerte rastreando la fuente de los comandos del control remoto del arma?	Recibía los comandos a través de la Deep Web.	4
¿Una versión beta prematura sin credenciales para iniciar sesión? Eso apenas vale nada.	Vale.	1
¿Un archivo de texto? Saca eso en pantalla.	¿Qué es eso?	5
¿Mencionó en algún momento la primera vez que le llamaron Python?	Sí.	1
¿Rav?	Ya estoy en ello, D.B.	1
¿Tiene una foto de Dante?	Antes tenía una caja de zapatos llena de ellas. Pero no sé...Se volvió demasiado doloroso.	2
¿Es mi Dante?	Es necesario que se aparte...	6
¿Has oído eso? ¿Te puedes imaginar la cantidad de dolor que le has causado a esta pobre mujer?	La casa de mi madre. Estás en mi casa.	5
¿Ingeniería social espiando a tu propia madre? No se puede caer más bajo.	Avery Ryan. No tienes ni idea de con quién estás tratando.	5
¿Mi dormitorio? Te estás agarrando a un clavo ardiendo, subdirectora Ryan. ¡No tienes nada!	¿Una modelo con poca ropa en tu pared? Eso es lo más cerca que has estado nunca de una mujer de verdad.	5
Tienes tres conjuntos de sábanas dobladas en tu armario, listas. ¿Eso es porque seguías mojando la cama cuando eras un adolescente?	¡Cállate!	4
Espera, ¿creéis que Squamata está alojada aquí?	A Python se le escapó algo. 	1
¿Entonces es eso?	Solo hay una manera de averiguarlo.	1
Oye, ten cuidado con eso, ¿vale? Es la pieza más importante de hardware en la que he tenido las manos encima.	Lo entiendo.	1
¿Alguna idea de cómo Python puso ese servidor en su antiguo dormitorio?	Sí, controlaba remotamente el ordenador de su propia madre.	1
¿Estás de broma?	Ya estaría arrastrándose con una canción de borracho que se acabara de inventar.	5
Por eso no me entregaste, ¿eh?	He intervenido sus cuentas. Sutton debe mucho dinero.	5
Suena bien, ¿vale? Agradezco de verdad la oferta, pero mira, no quiero molestar.	Escucha, por salvarte el culo, creo que merezco una persona en mi fiesta de compromiso con la que de verdad me apetezca hablar.	6
¿Sabías que una Comisión Presidencial estaba investigando los ataques?	Es hora de que nos vayamos.	4
¿Este justiciero cree que merezco morir?	Un equipo de transporte está de camino. Te llamaré cuando lleguen.	5
¿Accedió Ressler a ayudar?	Mi gente te llevará al avión.	5
¿Así que esto es solo para cubrirse las espaldas?	Dudo que Hitchin esté de acuerdo contigo.	6
¿Puedo darle un consejo?	Por favor.	1
¿Tiene alguna prueba que demuestre que existe la Cábala?	Los nombres de los miembros de la Cábala han sido publicados...	1
¿Cree que es inocente?	Mi trabajo no es determinar su culpabilidad o su inocencia.	4
¿muertonovivo.org? ¿Es así como se llama ahora?	Alguien con nombre de usuario "Arioch Cain" ha puesto precio a su cabeza.	4
¿No puedes cerrar la web?	Está descentralizada, en la memoria de servidores por todo el mundo. Derribo una y aparecen dos.	2
Se derrite en la boca, ¿verdad?	O en mi mano. Soy buena de las dos maneras.	1
Dime, Sr. Buckley, ¿crees en el amor a primera vista?	No lo sé. Creo que el amor es más como un gusto adquirido.	4
¿Y lo has adquirido... el amor?	Sí. Una vez.	1
Quizás lo sea. ¿Quién sabe?	He amado a Asher Sutton desde el mismo momento en que me fijé en él. Amo todo sobre él, incluyendo su extraña afinidad por los coleccionables, incluso en mi fiesta de compromiso.	5
Puede que no haya sido claro sobre cómo funciona esto, ¿eh?	Te he dicho que te lo daré el viernes.	5
- ¿Estás seguro?	- Sí, está bien.	1
Ha dicho que está bien, ¿vale?	Le he oído.	1
No hemos acabado aquí, ¿vale?	Parece que he hecho un amigo nuevo.	6
¿Este es el creador de la web? ¿Eres Gavrilo Princip?	El nombre verdadero es Gavin Delgado.	1
Entonces, ¿usted no comparte la opinión del agente Ressler sobre su inocencia?	Elizabeth Keen es una agente rusa durmiente. Es lo que le dijo al agente Ressler cuando escaló el muro de la embajada rusa, admitió que su verdadero nombre es Masha Rostova, y solicitó asilo político.	4
¿No me crees? Intente un protocolo de capa 4 UDP/TCP en la pila de protocolos OSI.	¿Agente Navabi?	6
¿Qué vas a hacer? ¿Lanzarme un ataque de denegación de servicio?	En realidad, estaba pensando más en millones de solicitudes reiteradas.	2
Te has metido en algún problema, ¿verdad? Cuéntamelo. Déjame ayudarte.	¿Qué sabes del boxeo clandestino?	5
¿Rusos?	Contraté a un detective privado para ver si podía llegar a un acuerdo. Han encontrado trozos de él por todo el condado de Allegheny.	6
¿Acaba de decir que tendremos que matarla?	Aram, escúchame con mucha atención. Esto es lo que necesito que hagas.	5
El agente Ressler sabe lo que estamos haciendo, ¿verdad? ¿Sabe lo de la agente Keen?	Le he llamado, pero sigue declarando ante la comisión.	2
Van a ir a por ti, ¿lo sabes? 	Cuento con eso.	1
¿Arioch Cain?	¿Tú?	1
¿Tú?	Parece como si hubieras visto un fantasma.	5
Oh, Dios mío. ¿Eso es... tienes sangre en el cuello de la camisa?	¿Qué has hecho?	6
¿Le suministró demasiado?	Señorita Claythorne, le recomiendo que no se ponga histérica.	5
General, ¿movió usted las figuras?	- ¿Qué? 	5
¿Ansía atención, señorita Claythorne? - ¿Algún tipo de atención? 	- ¿De qué está hablando? 	2
¿Podríamos solo desayunar?	Han sido unas noticias terribles lo de la señora Rogers.	2
- ¿Dejó la cirugía entonces, doctor? 	¡La gente no muere por nada! 	1
- ¿Qué tal si lo hago yo?	¡A mí no se me registra como a un sucio criminal!	2
¿Es eso cierto, juez?	He tenido problemas de salud, sí.	1
¿Podemos, general? Solo sedantes suaves.	Tal como dije.	1
¿Quizás podrías llamarme John?	Gracias, John.	1
¿Alguna vez ha sentido que le estaban cazando, gordi?	Deje de llamarme así.	5
¿En serio? Porque el señor Owen, sea quien sea, sabe mucho de nosotros.	Bueno, de mí no.	2
¿Nunca lo tocó?	No querría estar cerca de uno de esos sucios bastardos.	1
¿Tiene preparada su maleta?	Ella murió.	6
Traiga un par de sillas, ¿quiere? 	¿Qué sucede?	5
Bueno, no puedo dormir en mi habitación, ¿no? Mi esposa.	Si, obviamente. 	1
¿Su patrón? Su patrón es un demente.	Sea como sea, no tengo otro sitio donde ir.	5
¿Se suicidó?	Incluso apareció en el periódico local.	1
Aún así, a Marston le administraron cianuro. - ¿No fue así, gordi?	- ¿Cianuro? Estoy bastante seguro.	1
¿Cómo, el juez?	Conocido como el juez verdugo.	1
¿Alguien hizo esto?	Bueno, esto no ha sido un maldito accidente.	1
Me puedo imaginar cruzando mi camino con un doctor... con juez, ¿pero con alguien como el señor Lombard?	Bueno, ahora sí que hemos cruzado nuestro caminos, ¿o no?	1
Bueno, ahora sí que hemos cruzado nuestro caminos, ¿o no?	Señor Lombard, Blore me ha dicho que tiene un revólver.	5
¿Tiene un arma?	La llevo a todas partes.	1
¿Era la voz del señor Owen en la grabación? ¿Alguien la reconoció?	¿No nos estamos olvidando del arma?	5
Bueno, ahora está callada, ¿no?	Él es quien está moviendo las figuras.	6
¿Puedo? Disfruto bastante las tareas domésticas.	Son relajantes.	1
¿Tiene hambre de verdad?	Eso fue un trabajo pesado...cargar con Rogers.	1
¿Quién, Wargrave y Armstrong?	Esperame aquí arriba. (MM ENGLISH)	1
- ¡Y tú lo encontraste! ¿O tú? Estás chillando como una mujer, un poco aficionado a lo dramático, ¿no?	No le hice nada a Rogers.	2
- Bueno, eso es lo que dirías, ¿no? Igual que dices que tu pistola ha sido robada.	Realmente eres de primera clase, de cinco estrellas, de medalla de oro, un puto gilipollas.	5
Te gusta el tío Hugo, ¿verdad?	Sí.	1
¿Serás mi tía?	Lo seré.	1
¿Listo, viejo?	¿Listo? No creo que la señorita Claythorne sepa darle a la pelota.	6
Encender un fuego en el cabo, ¿una señal de ayuda?	No con este tiempo.	2
Aunque lo hiciera, no os mataría a todos al mismo tiempo, ¿no?	- ¿Cómo sabemos eso? 	4
Y ahí no pone en ningún sitio nada sobre una pistola, ¿o sí? ¡imbécil, cretino bastardo!	Yo iré contigo.	6
¿Es cierto?	De verdad quieres dejar de llamarme eso.	4
¿Es cierto, juez?	Tenía el poder de condenar a muerte a hombres y mujeres por sus crímenes.	1
¿Vio a Edward Seton ahorcado?	Recuerdo a Edward Seton de los periódicos.	4
Para, ¿quieres? ¡Para ya!	Como si no te hubiéramos aguantado a ti.	6
¿Qué? ¿Crees que le he puesto algo? Voy a traer otra botella que no haya sido abierta.	- Necesito agua.	6
¿Una lámpara de araña en un dormitorio?	Bueno, son pijos, ¿no es así?	1
¿Disparado? - ¿Estás seguro?	- Bueno, ¡mírale!	1
Vamos a dejar que esto sea un lección, ¿vale? Sé más discreto. No querrás acabar con la nariz sangrando o haciendo estiramientos por dentro porque los que son como tú no se divierten en la trena. Vamos, vete.	Gracias.	1
¿Y vendrás para eso?	Me tengo que ir.	1
Si Philip hubiera tenido la pistola antes la habría llevado cuando fuisteis a buscar a Armstrong, ¿no?	Pudiste deslizarte a su habitación y dejarla allí.	4
Ha sido desde el principio, ¿o no? Resolviéndolo. Armstrong dijo eso y todo.	Ha sido una noche muy larga.	1
¿Estamos muertos ya?	¿Cómo?	5
No quiero estar una noche más en esta casa, ¿tú?	Creo que estamos siendo observados.	2
¿Te volviste un minuto y no pudiste alcanzar a Cyril?	- Hugo, no puedes pensar que...	2
Bueno... no por mucho tiempo.	¿Por qué está haciendo esto?	5
Bueno, debemos hablar con ella. ¿Tenemos la dirección?	Eh... sí.	1
Katie, ¿a esto le llamas mucho?	¿Steven?	4
- Sabemos que necesita tiempo, ¿no?	- ¿Renovaciones?	6
Jefe, ¿podemos hablar un minuto?	Sí.	1
¿Y si encuentro el modo de arreglarlo? ¿Para que tú guardes las apariencias y hagas un poco de dinero? Bastante dinero.	Da la casualidad que el dinero generalmente tiene un efecto edificante en mi estado de ánimo.	6
A propósito, ¿dónde los encontraste? Estaban adentro del cuerpo, ¿no? ¿Qué? ¿Se los tragó?	¿Los quieres, o qué?	5
¿Los quieres, o qué?	¿Hablas en serio? ¿Sabes lo que valen?	5
¿Hablas en serio? ¿Sabes lo que valen?	Sí.	1
¿Lograste averiguar quién lo hizo?	Mira, ya tienes tu dinero. ¿Cuáles son las chances de que me hagas un favor?	5
¿Y esto lo resuelve? ¿Para siempre?	Sí.	1
¿Te sientes mejor al haber arreglado las cosas?	¿La lastimaste?	4
¿La lastimaste?	¿A quién?	5
¿Lo hiciste?	¿Por qué lo haría?	4
Megan...¿me tienes miedo?	Es evidente que no.	2
No. De Verdad?	Lo sé. Ya era hora, ¿no?	1
Lo sé. Ya era hora, ¿no?	Acerca tiempo para qué?	5
Es brillante en aquí para usted?	¿Eso es mejor?	6
¿Señor? Señor, ¿estás bien? Necesito ESU en 1298 Horizon Court.	Lo ví. Mató a Isabel.	5
¿Hay alguna posibilidad de que él dejó las huellas dactilares?	Por desgracia, no se parece a él.	2
Krumitz, ves eso?	¿Qué?	4
¿Isabel? 	Realmente te extraño chicos.	5
¿Te acuerdas de la cara?	Creo que él se dio la vuelta.	2
¿Crees que podría estar mintiendo a usted?	Es muy frágil. No estoy seguro de que todo está relacionado con este crimen.	2
¿Vas a responder a eso?	Nope. 	2
¿Puedes? 	Sí.	1
Guys?	Oh si.	1
Esa cosa está conectado a Internet?	Usted está mirando el dispositivo que el malware cargado en la computadora portátil de Isabel.	1
Un "amigo", ¿eh? 	Correcto, así que Isabel y su novio Ethan utiliza este juguete para continuar su relación sexual después de que ella se mudó a Tampa para el trabajo.	6
Trío?	Cada vez que Isabel y su novio hicieron la escritura, este tercer dispositivo de vino en línea.	6
Espere, por lo que estás diciendo ... alguien secuestrado señal sin hilos del sexo de Isabel y fue ... lo que, viendo?	Bueno, no exactamente.	2
La compra de un juguete sexual era torpe ... pero la ropa interior era totalmente natural?	Bueno, ahora ... (risa incómoda)	4
Brody, soy tu hermano, ¿de acuerdo? Necesito su ayuda en este caso.	(suspira) No te puedo ayudar, Jordania.	2
Espera, Krummy, que ver esto?	Eso dice alguien hackeó Isabel videocharlas WeDial programa.	1
¿Me estás tomando el pelo?	Nuestro objetivo puede inmiscuirse en cualquiera de el chat de vídeo en todo el mundo.	2
¿Se puede tomar uno de los cepillos de dientes Tristán Jenkins ' y conseguir que DB Russell en la oficina de campo? Mira, una prueba de ADN sencilla nos debe decir si Tristán es nuestro asesino.	Sí, pero con diez monitores? Quiero decir, probablemente viendo más que Isabel.	6
Hey hombre... ¿Eres genial? 	Sí.	1
Si le dieron oportunidad para ayudar a Francine antes de que ella se metió en problemas, ¿Tendrías?	Me he hecho nada para ayudarla.	1
Así, Tristán está haciendo qué? Recopilación de momentos felices de la vida de sus víctimas?	Mi papá y mamá están aún casados.	6
Tristán piensa esta colección de extraños al azar son sus seres queridos?	Para él, no son extraños al azar.	1
Pero supongo que la sangre y la familia no significa mucho de nada a usted ahora ?	Mira, eso no es cierto, Jordania.	2
¿Estás seguro de que esto es todo?	Eso creo.	1
Es difícil respirar, ¿no?	-Quizá me lave el pelo.	6
Hay gente en mi casa. ¿Puedes creerlo? ¡Gente! Los amigos de Frankie pensaron que estaba bien simplemente pasar a saludar.	-Espera, ¿Frankie sigue ahí?	5
-Espera, ¿Frankie sigue ahí?	-¿Puedes creerlo?	1
-¿Puedes creerlo?	-¿Frankie?	6
¿Quieres desahogarte, hacer manualidades, vengarte?	¿Quién les contó acerca de Sol?	6
¿Ya conseguiste abogado? Porque conozco a cada abogado en el estado.	Y debería. Ha usado a la mayoría de ellos.	5
¿Lo sabían todos? ¿Fui yo la única que no?	Juro que fue una sorpresa para mí.	1
-¿Cancelaron sus tarjetas de crédito?	-Lo sé. Es terrible.	1
¿Lo oíste? Mi casa. ¿Y sabes qué más? Voy a colgarte. Cielos, eso se sintió bien.	¿Frankie? ¿Estás bien? ¿Qué sucedió?	5
¿Y aún no entiendes por qué no se comunica contigo?	Más o menos.	3
-¿Puedes mirarme, por favor?	-Disculpa, estoy leyendo.	2
No estás leyendo...Carpintería Popular.	Yo también tengo sorpresas, Sol.	1
¿Eres una carpintera secreta?	Lo que detesto es que apenas una semana después de que arruinaste mi vida, ya empezaste con todo lo legal...y abogados, y... y cancelando tarjetas de crédito.	5
¿Coyote ya salió de rehabilitación?	¿No lo sabías?	1
-¿Está... viviendo ahí?	-Sí.	1
¿En serio vas a hacer esto ahora? ¿En serio vas a hacer que esto sea sobre ti, cuando es la primera vez que ellos cuatro están juntos desde...? Ya sabes.	¿El "Gay-magedón"?	5
¿El "Gay-magedón"?	-¿"Arma-gay-dón"? ¿Suena mejor?	4
-¿"Arma-gay-dón"? ¿Suena mejor?	-Eso está mejor.	1
¿Eso no estaba entendido cuando dije que recogieras a los niños?	Dijiste que ibas a casa de Frankie y que debería...Cierto, eso estaba entendido.	1
Bueno, ¿a quién se le antoja un trago? ¿A excepción del alcohólico?	A mí. 	1
¿Alguna vez fue real?	Harás recuerdos nuevos, Frankie.	4
¿Esto es de mi bautismo?	Y del mío también.	1
Genial. ¿Y hablaste con Rafael?	Lina confirmó, ¿has apuntado eso, abuela?	5
Lina confirmó, ¿has apuntado eso, abuela?	- Sí.	1
- Jane, ¿has hablado con él?	¿Por qué? Él es quien se lo pidió a Michael.	2
- ¿Es un mal momento?	- No me calles, - tú me arrastraste aquí.	6
Esto es incómodo, ¿de acuerdo?	Estaba jugando contigo.	5
¿Hay algún bebé que ya parpadee?	Tanner. ¡Sí! 	1
Estamos en ello, ¿verdad?	*Adiós, Tanner* *Adiós, Lily* *Adiós, Mateo*	6
Espera, ¿estás aquí para verme a mí, o a Jane?	A ambos.	5
¿Has pensado en un spray bronceador?	Y ahora cruzamos la puerta principal. Y vemos...¿Michael?	6
¿Nos vemos luego en el ensayo del bautismo?	- Sí. 	1
Eh, ¿estás bien?	¿Cómo encuentras las palabras para decir que tu psicótica ex mujer se ha inseminado a ella misma con tu esperma robado?	2
Oye, ¿tu hermana va a venir al bautismo o...? No ha contestado.	No, no sé nada de ella.	2
¿Te suena algo de esto?	Lo siento, para ser sincero, no estaba escuchando la llamada.	4
¿Te acuerdas de como la engañamos para hacer que pensase que aún tenía sentimientos por ella?	Y creo que ella haría lo que fuese, incluso traicionar a su propia madre, si ella pensase que tiene una oportunidad contigo.	1
Dios. ¿Estás bien?	Sí. 	1
- Cariño, ¿te acuerdas de lo que dijiste cuando te quedaste embarazada?	Necesitamos un tipo de señal. Una manera de que me digas de que la maternidad me está desviando de mis metas.	6
¿Crees que es el mejor paso para la serie? Ya sabes, ¿como E.P.?	Bien, obviamente, los fans y la prensa se volverán locos.	1
¿Qué es eso? ¿Tu diario?	- No es un diario.	2
¿En serio?	Lo prometo.	1
¿Porque no quieres estar conmigo?	No he dicho eso.	4
¿Cuál es la alternativa? ¿Le damos la bienvenida a la familia? ¿Que venga por Acción de Gracias?	He usado mi propia jeringa. ¡Disfrutad!	6
Y luego qué, ¿no le dice a Mateo que tiene un hermano hasta un día antes de que se entere?	¿A quién se lo dedico?	6
No está en mis manos. ¿Sabéis qué? Ya tengo suficiente de lo preocuparme con el asunto de la universidad.	- Venga, vas a volver.	5
¿Y en cuanto a la comparación de la escritura con un nombre del registro de visitas?	Bueno, es difícil, debido a la degradación de la tinta y las manchas de vino.	5
Pues, mamás, para terminar, ¿hay algo que os gustaría compartir? ¿Dónde estáis, dónde está el bebé?	En realidad, sí tengo algo que compartir.	1
Quiero trabajar. ¿Eso me hace mala persona?	Mamás, parad. No hay una decisión correcta, porque todas somos diferentes. Lo único que es importante es que respetes la decisión que sea correcta para ti.	2
¿Supongo que has leído las líneas? Aquí es cuando Blanca se reúne con Santos tras una separación agonizante.	¡Grabemos!	5
¿Estamos listos?	Una cosa más, Janie.	2
Michael y Lina, como padrinos, ¿prometéis apoyar a estos padres en la crianza del niño, colmándole con sabiduría y afecto?	- Sí.	1
¿Sí?	No te lo dije porque, bueno, parecía muy importante para ti verlo primero.	1
¿Piensas que una de las dos es menos madre?	Lo sé, pero no es solo eso.	5
¿Recuerdas lo emocionada que estabas cuando nos lo contaste?	¡Hemos entrado en el posgrado!	6
Xiomara, ¿podemos hablar de lo que pasó, por favor?	¿Qué quieres decir?	5
Le sienta bien, ¿verdad? Tiene como un brillo.	No lo sé, ha estado muy distanciado últimamente.	4
¿De verdad crees que respondería a esa clase de cosas?	- Jane, escucha...	5
- ¿Y siendo distante, y gilipollas a propósito?	Jane, intento decírtelo.	5
¿Estás bien?	Sí, estoy bien.	1
¿Pero es lo que quieres?	No quiero nada de esto.	2
¿Supongo que por esa reacción, es lo que tú quieres?	Gracias.	5
¿Pero quieres tener a este bebé?	Bueno, no quiero que abortes. O que te mudes a Rusia.	4
¿Quiere una foto de mí? Está horrible. ¿Tienes brillo de labios?	Esperad un minuto, si intentan que Rose se dé cuenta de que Luisa ha desaparecido, entonces Rose no es la que la ha secuestrado.	6
¿Es verdad que no me han dado el papel?	Este no es un buen momento. Estamos a punto de rodar una escena de desafío a la muerte	5
¿Crees que eso es más emocionante que el verano?	¿Te estoy robando escenario, maese?	5
Lo saben, ¿no?	La tendencia actual en nombres de marca es una tontería única, simple y fonéticamente memorable.	5
¿Qué tal los pezones remojones?	Me gustan los pezones remojones.	1
¿Van a salir a celebrarlo o algo...? Podría ir con ustedes... ha sido un año difícil, me vendría bien una copa.	Íbamos a ir al bar de Britta en cuanto a mamá le apetezca cerrar el año.	1
- ¿Volverás, Elroy?	Creo que sí.	1
¿Volverás?	Sí.	1
¿Dijo que tenía una entrevista?	Seis años. Seis temporadas, ¿eh, Abed?	6
Seis años. Seis temporadas, ¿eh, Abed?	No lo estimules.	5
¿Y si volviera Shirley? ¿Eso cambiaría tu opinión?	Shirley podría devolvernos a nuestra fórmula, pero no nos cambiaría.	2
¿Y si dejamos la trama secundaria para pasar a la principal?	No confío en las principales.	2
¿Funcionará esta combinación?	No me toca a mí decirlo.	4
Con Shirley o sin ella, ¿qué más da?	Abed, no somos fórmulas, y si no me conociera, creo que lo sabría.	5
Las cosas tienen una cierta estructura, ¿sabes? Si la cambiamos, somos raros. Si la mantenemos, somos aburridos.	Sí, pero... ¿no te referirás más bien a tu cerebro, Abed? A ver, no quiero ofender.	5
¿Me puedo quedar con tu habitación? Si no vuelves, si no vuelves.	Seguro que vuelvo... probablemente.	2
Jeff, ¿estás bien?	¿Eh? Oh, me... tomaste por sorpresa.	4
¿Vieron mi cigarro electrónico?	Debería haber una ONG para gente como tú.	5
¿Son esos créditos de criminología difíciles de conseguir en Greendale?	Por favor. El único crédito difícil de conseguir en Greendale es el del banco.	2
¿Te acuerdas del bandido del ojete?	¿Que si me acuerdo? Se acuerda todo el mundo.	1
¿Qué es esta cosa del pañal? ¿Es para avergonzarme?	¿En serio quieres que un montón de gente te vista?	5
¿En serio quieres que un montón de gente te vista?	Sería cortés el intentarlo.	4
En esta versión, ¿me dirás a menudo lo que tengo que hacer?	¿Yo me estoy medicando? Soy maduro y empático.	5
- Pero volverás, ¿verdad?	- Quizás.	4
¿Algo divertido ocurrió?	Qué más da.	4
¿Estás bien?	¿De verdad es esto lo que quieres?	5
¿De verdad es esto lo que quieres?	Pues claro.	1
¿Interrumpimos algo?	¡Deja de ser tan tonto!	5
¿Estan haciendo una final sin autorización? Nada genial.	Abed, sé que estás cómodo mirándolo todo con tu filtro meta, pero solo estábamos despidiéndonos de la sala.	2
Podemos darles seguirlas en casa, ¿verdad? - O sea, ¿por nuestra cuenta?	- Claro.	1
¿Señorita? Debo disculparme.	Bueno, no conmigo, pero estoy segura de que los Amish están molestos por que estás volviendo gay su estilo.	6
¿Ves el chico de aquel reservado? ¿Jared "Déjale Escapar"? ¡Acaba de ofrecerse a leer mi futuro como propina!	Tú no tienes futuro.	5
Veo ¿dos emes?	¡Zorra! ¿Has estado escondiendo MM's?	5
Max, ¿puedo darle un mínima mordida? ¿El crumble de los crumbles? Caroline no me deja comer nada por mi gran sesión de fotos.	¡Rápido! Nada de masticar, nada de disfrutar. Solo traga.	1
No está comiendo, ¿o sí? No quiero al Hombre de Malvavisco en la sesión de fotos de mi novia.	¡No he comido nada desde el martes!	2
¿Podré poner a Max como jefa de pastelería? ¿Y dónde está este nuevo local?	Bueno, ahora mismo, todo está en secreto como estaba mi cara hace seis meses. Pero como gerente, puedes contratar a tu propio personal, e incluso te dejaré robar a Max.	4
