Question	Answer	Annotation (Label)
- Vous allez bien ? - Il s'étouffe !	Il saigne !	2
Pouvez-vous venir, s'il vous plaît ?	Elle est morte depuis quelques heures.	5
L'état de Mme Rogers a empiré ?	En quelque sorte.	1
- Morte ?	- Durant son sommeil.	1
Il y en a huit, n'est-ce pas ? Huit statuettes pour les huit personnes vivantes. Dites-moi que j'ai raison.	Je suis sûr qu'il y a une explication rationnelle à cela.	4
Sorti pour patauger, général ?	Qu'êtes-vous, Lombard ? Un mercenaire ? Un tueur à gages ? Un soldat ?	6
Qu'êtes-vous, Lombard ? Un mercenaire ? Un tueur à gages ? Un soldat ? Pas d'une armée que je reconnaîtrais, et pourtant, un soldat tout de même.	Vous n'avez pas à vous inquiéter de ce que je suis.	4
Il y a toujours un moment, n'est-ce pas ? Avant l'attaque, la montée, le bombardement, le chaos. Un moment de calme absolu.	Écoutez, ne dirait-on pas ce moment ?	5
Écoutez, ne dirait-on pas ce moment ?	Je n'ai jamais été un homme qui aime le calme, général.	2
Rupert ?	Qui est-ce? Il est un peu occupé à mourir, Agent Ryan.	5
Mais une Interpol agent-- que ce genre de risque, est-ce pas?	Rupert a dû trébuché sur quelque chose	1
Vous effectivement parlé à Python? Vous avez entendu la voix du bâtard au téléphone?	Ouais.	1
Donc, si il a fait cela avant, vous devez avoir ces autres armes à feu ?	Quai, six.	1
Pouvons-nous y arriver ?	Rupert Flemming a été la rencontre avec quelqu'un, Donc j'avais Interpol envoyer une photo de son ordinateur portable.	6
Est-il possible il piraté Interpol ?	Voilà ce que je pensais.	1
Je ne sais pas, une histoire à propos de terrifiant bactéries qu'il a trouvé?	Mais il avait aussi nous dire que si nous ne pouvons pas trouver un chef de file dans la preuve, nous devons nous pencher ce qui manque.	6
At-il montrer à la réunion ?	Vous ne pouvez pas répondre aujourd'hui Trop risqué.	2
Il a le vrai nom de Python?	L'anonymat est tout dans le Web profond. Ce Darko touche la clé à I.D-ing et la mise en cage ce serpent.	4
Me demandez-vous pas de suivre les ordres, Avery ?	Je vous demande à attendre avant que vous faites.	4
Hé, n'est pas qu'un de vos informateurs confidentiels ?	Frais !	1
Est votre famille de Toulouse ?	Ouais.	1
Je pense que ce, comme, contre la loi ou quelque chose, non ?	Désolé, Bernie.	1
Je suis désolé ...sommes-nous courir après un fantôme ?	Plus comme une identité virtuelle créé par un hacker.	2
Vous souvenez-vous Paris ?	Oh ...	4
Teddy ? Reste avec moi.	Avery, il n'y a pas de tir.	6
de Python certainement à la hauteur de sa réputation, est-il pas ?	Pablo Escobar du Web profond.	1
Avons-nous tout suivi de la chance la source des commandes à distance de l'arme ?	Il a reçu des commandes à travers le Web profond.	4
Une version bêta début sans informations de connexion ? Il est à peine vaut rien.	Bien. ( soupirs )	1
Fichier texte ? Mettez ça sur l'écran.	Qu'est-ce que c'est que ça ?	5
At-il jamais mentionner la première fois il a été donné le nom Python ?	Il a fait.	1
Rav -- ?	Je suis déjà sur lui, D.B.	1
Avez-vous une photo de Dante ?	Je l'habitude d'avoir une boîte à chaussures pleine. Mais je ne sais pas, je juste -- Il a juste obtenu trop douloureux.	2
Est-ce que mon Dante ?	Vous avez besoin à l'étape aside --	6
Avez-vous entendu que ? Pouvez-vous imaginer le montant de la douleur vous avez causé cette pauvre femme ?	La maison de ma mère. Vous êtes dans ma maison.	5
L'ingénierie sociale et d'espionnage sur votre propre mère ? Il ne va pas inférieur à celui.	Maintenant, maintenant, Ryan Avery. Vous avez aucune idée qui vous avez affaire.	5
Ma chambre ? Vous saisir les pailles, Directeur adjoint Ryan. Tu n'as rien !	Un modèle légèrement vêtues sur ton mur ? Voilà aussi proche que vous jamais obtenu d'une vraie fille.	5
Vous avez trois ensembles de feuilles plié dans votre placard, à la main. Est-ce parce que vous étiez encore pipi au lit lorsque vous étiez adolescent ?	Fermez juste votre bouche!	4
Attendez, vous vous-pensez Squamata est hébergé ici ?	Python suffit de laisser échapper quelque chose.	1
Alors, est-ce cela ?	Il ya une seule façon de savoir.	1
Hé, vous soyez prudent avec ça, d'accord ? Il est seulement le plus important morceau de matériel J'ai jamais mis mes mains sur	Je comprend.	1
Toute idée sur la façon Python obtenu que la lame dans son ancienne chambre ?	Ouais, il a noté l'ordinateur de sa propre mère.	1
Tu rigoles ?	Il serait déjà slurring son chemin par quelque chanson à boire il a juste composé.	5
C'est pour ça que tu ne m'as pas dénoncé, hein ?	J'ai vérifié dans ses comptes. Sutton doit beaucoup d'argent.	5
Ça semble sympa, d'accord ? J'apprécie l'offre, vraiment, mais je ne veux pas m'imposer.	Pour avoir sauvé ton cul, je pense que je mérite d'avoir la seule personne à mes fiançailles à qui je veux vraiment parler.	6
Saviez-vous qu'une Commission Présidentielle enquêtait sur les attaques ?	Il est temps de partir.	4
Ce justicier pense que je mérite de mourir ?	Une escorte est en route. Je vous appelle quand elle sera là.	5
Ressler a donné son accord ?	Mes hommes vont vous conduire à l'avion. De là, vous partirez vers Quito.	5
Donc tout ça, c'est juste pour couvrir vos arrières ?	Je doute que Hitchin soit d'accord avec vous.	6
Je peux vous donner un petit conseil ?	Je vous en prie.	1
Avez vous des preuves que la Cabale existe ?	Des noms de membres de la Cabale ont été publiés.	1
Pensez-vous qu'elle est innocente ?	Mon travail n'est pas de déterminer sa culpabilité ou son innocence.	4
deadnotalive.org ? C'est le vrai nom ?	Quelqu'un avec le pseudo "Arioch Cain" à mis sa tête à prix.	4
Tu peux enlever le site ?	Il est décentralisé, en cache sur plusieurs serveurs à travers le monde. J'en enlève un, et deux de plus réapparaissent.	2
Il fond dans la bouche, n'est-ce pas ?	Ou ma main. Je suis bon dans tout les cas.	1
Dites-moi, Mr Buckley, croyez-vous au coup de foudre ?	Je ne sais pas. Je pense que l'amour est plus un goût acquis.	4
Et l'avez vous déjà acquis, l'amour ?	Oui. Une fois.	1
Peut-être que ça le sera. Qui sait ?	J'ai aimé Asher Sutton dès l'instant où j'ai posé les yeux sur lui.	5
J'ai pas été assez clair de comment ça marchait ?	Je l'aurai vendredi.	5
- T'es sur ?	- Oui , tout va bien.	1
Il a dit que c'était bon.	Je l'ai entendu.	1
On en a pas fini.	On dirait que je me suis fait un nouvel ami.	6
C'est le créateur du site ? Vous êtes Gavrilo Princip ?	Son vrai nom est Gavin Delgado.	1
Donc vous ne partagez pas l'opinion de l'agent Ressler qu'elle soit innocente ?	Elizabeth Keen est un agent dormant Russe.	4
Vous ne me croyez pas ? Essayer une couche de quatre UDP / TCP dans la pile OSI.	Agent Navabi ?	6
Vous ferez quoi ? Me cibler avec une attaque DOS ?	En fait, je pensais plutôt à un million de requêtes répétitives.	2
Tu t'es mis dans le pétrin, c'est ça ? Raconte-moi. Laisse-moi t'aider.	Qu'est-ce que tu connais de la boxe clandestine ?	5
Russes ?	J'ai engagé un detective privé pour voir si un accord était possible. Ils ont trouvés des morceaux de lui le long d'une rivière.	6
Est-ce-que tu viens juste de dire que nous devons la tuer ?	Aram, écoute-moi très attentivement. C'est ce que j'ai besoin que tu fasses.	5
L'agent Ressler sait ce qu'on fait ? Il sait pour l'agent Keen ?	J'ai appelé, mais il témoigne toujours devant la Commission.	2
Ils vont venir pour toi, tu sais ?	J'y compte bien.	1
Arioch Cain ?	Vous ?	1
Vous ?	On dirait que vous avez vu un fantôme.	5
Oh, mon Dieu. C'est... c'est du sang sur ton col ?	Qu'est-ce que tu as fait ?	6
Lui en avez-vous donné trop ?	Mlle Claythorne, je vous ai prévenu sur le fait de devenir hystérique.	5
Général, avez-vous déplacé les statuettes ?	- Quoi ?	5
Désirez-vous de l'attention ? - N'importe quel genre d'attention ?	- De quoi parlez-vous ?	2
Pouvons-nous simplement déjeuner ?	Ce fut une affreuse nouvelle concernant Mme Rogers.	2
- Plus de chirurgie, alors, docteur ?	Les gens ne meurent pas sans raison !	1
- Et si je le faisais ?	Je ne veux pas être fouillé comme un criminel !	2
Est-ce vrai ?	J'ai eu des problèmes de santé, oui.	1
Général, allons-y ! Juste des calmants légers.	Comme je l'avais dit.	1
Vous pourriez peut-être m'appeler John.	Merci, John.	1
Vous avez déjà eu le sentiment d'être chassé, Pansu ?	Arrêtez de m'appeler comme cela.	5
Vraiment ? Parce que M. Owen, peu importe qui il est, en sait beaucoup sur nous.	Pas sur moi en tout cas.	2
Vous ne l'avez jamais touché ?	Je n'ai jamais voulu m'approcher de l'un de ces gros porcs.	1
Votre valise est-elle faite ?	Elle mourut de la grippe espagnole, après la guerre.	6
Amenez quelques chaises, voulez-vous.	Que se passe-t-il ?	5
Je ne peux pas dormir dans ma chambre, non ? Mon épouse.	Oui, évidemment Bien sûr.	1
Votre employeur ? Votre employeur est fou.	Quoi qu'il en soit, il ne me reste que cela.	5
Elle s'est suicidée ?	Cela a même fait la une du journal local.	1
Marston a reçu du cyanure, pourtant. - N'est-ce pas, Pansu ?	- Du cyanure ? Je suis presque sûr de cela.	1
Quoi, le juge ?	Connu comme un juge impitoyable.	1
Quelqu'un a fait cela ?	Ce n'est pas un fichu accident.	1
Je peux imaginer croiser un docteur... un juge, mais quelqu'un comme M. Lombard ?	Nous nous sommes croisés à présent.	1
Nous nous sommes croisés à présent. N'est-ce pas ?	M. Lombard, Blore m'a dit que vous aviez un revolver.	5
Il a une arme ?	Je l'emmène partout.	1
Quelqu'un reconnaît la voix de M. Owen sur le disque ?	Oublions-nous le pistolet ici ?	5
Eh bien, maintenant, elle s'est tût, n'est-ce pas ?	C'est lui qui ôte les statuettes.	6
Puis-je ? J'apprécie les tâches domestiques.	Elles sont relaxantes.	1
Vous avez réellement faim ?	C'était une tâche dure...que de s'occuper de Rogers.	1
Qui, Wargrave et Armstrong ?	Attendez-moi ici.	1
- Et vous l'avez trouvé ! Ou peut-être que non. Vous trembliez comme une femme, c'était de la comédie, n'est-ce pas ?	Je n'ai rien fait à Rogers.	2
- Vous diriez cela, non ? Comme vous avez dit que votre arme a été volée.	Vous êtes vraiment un fichu idiot de première catégorie, et de niveau cinq étoiles avec ça.	5
Vous aimez oncle Hugo, n'est-ce pas ?	Oui.	1
Serez-vous ma tante ?	Oui.	1
Prête, ma vieille ?	Prête ? Je ne pense pas que Mlle Claythorne puisse frapper la balle.	6
Allumer un feu sur la pointe, demandant de l'aide ?	Pas avec ce temps.	2
Et si je l'avais, je ne vous tuerais pas tous d'un coup, non ?	- Comment pouvons-nous le savoir ?	4
- Car c'est un par un, selon le poème, n'avez-vous pas fait attention ? Et il n'est mentionné nulle part un pistolet, n'est-ce pas ? Espèce d'imbécile, crétin !	Je vous suivrai.	6
Est-ce vrai ?	Arrêtez de m'appeler comme ça.	4
Est-ce vrai ?	J'avais le pouvoir de condamner à mort des hommes et femmes pour leurs crimes.	1
Avez-vous vu celle d'Edward Seton ?	Je me souviens d'Edward Seton, dans les journaux.	4
Arrêtez, voulez-vous ? Arrêtez !	Vous pensez qu'on en a pas assez de vous voir... haleter, fumer... vous agiter et faire les cent pas.	6
Quoi, vous pensez que j'y ai fait quelque chose ? Je vais chercher une autre bouteille qui n'a pas été ouverte.	- J'ai besoin d'eau.	6
Un lustre dans la chambre ?	Ils sont snobs, non ?	1
Tué par balle ? - Vous êtes sûr ?	- Regardez-le !	1
Que ça vous serve de leçon. Soyez plus discret. Vous ne voulez pas finir avec un nez en sang ou vous déchirer l'intérieur parce que ce n'est pas marrant pour vous d'avoir pleins d'entailles.	Merci.	1
Vous reviendrez pour ça ?	Je dois y aller.	1
Si Philip avait l'arme auparavant, il l'aurait pris avec vous quand vous êtes allé chercher Armstrong, n'est-ce pas ?	Vous auriez pu vous faufiler de votre chambre et l'y mettre.	4
Pourquoi est ce que c'est toujours vous qui comprenez ? Résoudre le puzzle. Armstrong l'avait dit.	La nuit a été longue.	1
Sommes-nous déjà morts ?	Quoi ?	5
Je refuse de passer une autre nuit ici, vous ?	Je pense qu'on est surveillés.	2
Vous vous êtes retournée un moment et vous ne pouviez pas rattraper Cyril ?	- Hugo, vous ne pensez pas...	2
Il n'y en a plus pour longtemps, hein ?	Pourquoi faites-vous ça ?	5
Elle a une adresse ?	Ouais.	1
Katie, as-tu appelé cette ouvrier ?	Steven ?	4
- On sait qu'il a besoin de temps.	- Des rénovations ?	6
Chef, je peux vous parler ?	Ouais.	1
Et si je trouvais un moyen de réparer ça ? Que vous sauviez la face, en gagnant de l'argent ? Une grosse quantité d'argent.	Et bien, je constate souvent que l'argent à un effet positif sur mon état d'esprit.	6
Où les avez-vous trouvés ? À l'intérieur du corps, n'est-ce pas ? Elle les a avalés ?	Vous les voulez, ou pas ?	5
Vous les voulez, ou pas ?	Êtes-vous sérieux ? Vous connaissez la valeur de ce lot ?	5
Êtes-vous sérieux ? Vous connaissez la valeur de ce lot ?	Ouais.	1
Avez-vous trouvé qui a fait ça ?	Écoutez, vous avez votre argent maintenant. Quelles sont les chances que vous me fassiez une faveur ?	5
Et cela clôt cette affaire ? Pour de bon ?	Ouais.	1
Vous vous sentez mieux d'avoir arrangé les choses ?	Tu l'as blessée ?	4
Tu l'as blessée ?	Qui ?	5
Alors ?	Pourquoi j'aurais fait ça ?	4
Megan... as-tu peur de moi ?	Manifestement, non.	2
Comment le travail de miel? Les choses de mieux en mieux au bureau ?	Maman, je ne veux pas pour parler de cela.	4
Non. Ah bon ?	Je sais. A propos du temps, non ?	1
Je sais. A propos du temps, non ?	A propos du temps pour quoi ?	5
Est-il clair ici pour vous ?	Ce mieux ?	6
Monsieur ? Monsieur, êtes-vous d'accord ? Je dois ESU à 1,298 Horizon Cour.	Je l'ai vu. Il a tué Isabel.	5
Toute chance il a laissé des empreintes digitales ?	Malheureusement, il ne ressemble pas à elle.	2
Krumitz, vous voyez cela ?	Quoi ?	4
Isabel ?	Tu me manques vraiment les gars.	5
Vous souvenez-vous de son visage ?	Je pense qu'il se détourna.	2
Pensez-vous il pourrait être étendu pour vous ?	Il est très fragile. Je ne suis pas sûr que tout est liées à ce crime. Mais il n'y a rien dans son comportement ou le comportement qui indiquent à moi il fabrique qu'il a son histoire.	2
Tu vas répondre à cela ?	Nan.	2
Pouvez-vous ?	Ouais.	1
Les gars ?	Oh oui.	1
Cette chose est connecté à l'Internet ?	Vous êtes à la recherche au niveau du dispositif que les logiciels malveillants chargé sur l'ordinateur portable d'Isabel.	1
Un "buddy" ? hein?	Bien, si Isabel et son petit ami Ethan utilisé ce jouet à continuer leur relation sexuelle après elle a déménagé à Tampa pour le travail.	6
Manage à Trois ?	Chaque fois Isabel et son petit ami a fait l'acte, ce troisième dispositif est venu en ligne.	6
Attendez, vous dites ... quelqu'un détourné Signal de sexe sans fil de Isabel et a été ... ce qui, en regardant ?	Eh bien, pas exactement.	2
L'achat d'un jouet sexuel était maladroit ... mais de la lingerie était tout à fait naturel?	Eh bien, maintenant ...	4
Brody, je suis votre frère, d'accord ? Je besoin de votre aide sur ce coup.	( soupirs ) Je ne peux pas vous aider, en Jordanie.	2
Attendez, Krummy, vous voir cela ?	Cela dit quelqu'un d'autre piraté Isabel vidéo-chat programme WeDial.	1
Tu rigoles ?	Notre objectif peut-être, s'immiscer dans quelqu'un.	2
Pouvez-vous saisir un de Tristan Jenkins brosses à dents et obtenir pour D.B. Russell dans le bureau de terrain ? Regardez, un simple test d'ADN devrait nous dire si notre tueur de Tristan.	Ouais, mais avec dix moniteurs ? Je veux dire, il est probablement regarder plus que juste Isabel.	6
Hé, mec ... Vous aimez ?	Ouais.	1
Si on vous donnait occasion pour aider Francine avant elle a eu des ennuis, auriez-vous ?	Je l'aurais fait tout pour l'aider.	1
Alors, Tristan fait quoi ? Collecte des moments heureux de la vie de ses victimes ?	Ma maman et papa sont toujours mariée.	6
Tristan pense cette collection étrangers de hasard sont ses proches ?	Pour lui, ils ne sont pas étrangers au hasard.	1
Mais je suppose que le sang et la famille ne signifie pas grand-chose de quoi que ce soit à vous maintenant ?	Regardez, cela est faux, en Jordanie.	2
Vous êtes sûr que ce soit tout ?	Je pense que oui.	1
C'est dur de respirer, n'est-ce pas ?	- Je vais me laver les cheveux.	6
Y a des gens chez moi. C'est fou, non ? Des amis de Frankie sont passés à l'improviste.	- Frankie est encore là ?	5
- Frankie est encore là ?	- Oui !	1
- Oui !	- Frankie?	6
Tu veux parler, faire un album, te venger ?	Qui vous a parlé de Sol ?	6
Vous avez déjà un avocat ? Je connais tous les avocats de l'État.	Elle a engagé la plupart.	5
Vous étiez au courant, pour Sol ? J'étais la seule à l'ignorer ?	J'étais sous le choc, je te jure.	1
- Vous avez bloqué leurs cartes ?	- Je sais. C'est horrible.	1
Tu m'entends ? Chez moi ! Et tu sais quoi ? Je vais te raccrocher au nez !	Frankie ? Ça va ? Que s'est-il passé ?	5
Tu vois pourquoi elle ne t'appelle pas ?	Plus ou moins.	3
- Peux-tu me regarder ?	- Pardon, je lis.	2
Tu ne lis pas Menuisier Magazine.	J'ai des surprises aussi.	1
Tu es menuisier en secret ?	Je déteste qu'à peine une semaine après avoir détruit ma vie, tu passes déjà aux aspects juridiques, aux avocats et... aux cartes de crédit bloquées...	5
Coyote est sorti de désintox ?	Tu ne le savais pas ?	1
Il vit là-bas ?	Tu l'as pas vu depuis le coup à la Stanley Kowalski devant chez toi ?	1
Sérieux ? Tu vas faire ça maintenant ? Tu vas parler de toi, alors que c'est la première fois qu'ils sont ensemble, tous les quatre, depuis...Tu sais...	Gay-maggedon ?	5
Gay-maggedon ?	- Arma-gaydon ? C'est mieux ?	4
- Arma-gaydon ? C'est mieux ?	- C'est mieux, oui.	1
Ce n'était pas insinué quand j'ai dit d'aller chercher les enfants ?	Tu as dit que tu allais chez Frankie et que je devais...Oui, c'était sous-entendu.	1
Quelqu'un veut un verre ? Sauf l'alcoolique ?	Moi, je veux bien.	1
C'était réel, tout ça ?	Tu vas te faire de nouveaux souvenirs, Frankie.	4
J'avais ça pour mon baptême ?	Et moi avant toi.	1
Tu as parlé à Rafael ?	Lina a confirmé. Tu comprends, Abuela ?	5
Lina a confirmé. Tu comprends, Abuela ?	Jane, tu lui as parlé ?	1
Jane, tu lui as parlé ?	Pourquoi ? C'est lui qui a demandé à Michael.	2
- Ce n'est pas le bon moment ?	- Ne me dis pas de me taire, - c'est toi qui m'a amenée ici.	6
Désolée, mais c'est bizarre.	Je me servais de toi.	5
Ils vous en font en retour ?	Tanner m'en fait.	1
Attends, t'es là pour me voir ou pour voir Jane ?	Euh, les deux.	5
Tu as déjà pensé à l'auto-bronzant ?	Maintenant on avance vers la porte d'entrée. Et nous voyons...	6
Je te vois à la répétition de baptême tout à l'heure ?	Si son emploi du temps criminel le lui permet.	1
Est-ce que ça va ?	Où trouve-tu les mots pour dire que ta tarée d'ex-femme s'est inséminée elle-même avec ton sperme volé ?	2
Donc ta sœur vient au baptême, ou...? Elle n'a pas confirmé.	Non, je n'ai pas eu de nouvelle.	2
Ça ne te rappelle rien ?	Désolé, pour être honnête, je n'écoutais pas cet appel.	4
Tu te souviens quand on l'avait piégée en lui faisant croire que j'avais encore des sentiments pour elle ?	Et je pense qu'elle ferait n'importe quoi, même dénoncer sa propre mère, si elle pense avoir une chance avec toi.	1
Ça va ?	Oui, oui. 	1
- Je ne peux pas déjà le laisser.- Chérie, tu te souviens de ce que tu disais quand tu étais enceinte ?	On a besoin d'un signe. Une façon pour toi de me dire quand je suis en train de laisser ma maternité guider ma vie.	6
Tu penses que c'est la bonne chose à faire ? Tu sais, en tant que P.E. ?	Eh bien, évidemment, les fans et la presse auront les boules.	1
C'est une figure de style ?	Entrepôt de Luciana.	6
Qu'est ce que c'est ? Ton journal intime ?	- C'est pas un journal intime.	2
Vraiment ?	Je n'ai pas dis ça.	1
Parce que tu ne veux pas être avec moi ?	I didn't say that.	4
Quelle est l'alternative ? On l'accueille dans la famille ? On la supporte à Thanksgiving ?	Je me suis servi de ma seule poire à jus. Bon appétit !	6
Et après ? Elle ne dit pas à Mateo qu'il a un frère ou une soeur jusqu'au jour où il le découvrira ?	Je signe pour qui ?	6
Vous savez quoi ? Je m'inquiète déjà assez avec cette histoire de programme sup.	- Arrête, tu vas y retourner.	5
Et concernant la concordance avec le nom d'un visiteur du vignoble ?	C'est difficile, à cause de la dégradation de l'encre et des tâches de vin.	5
Alors, les mamans, voulez-vous partager quelque chose ? Tant que vous êtes là ? Tant que bébé est là ?	Oui, moi.	1
Je veux travailler. Ça fait de moi quelqu'un d'horrible ?	Mamans, arrêtez. Il n'y a pas de bon choix, parce qu'on est tous différents.	2
Je suppose que tu as lu le texte ? C'est lorsque Blanca retrouve Santos après une séparation agonisante. Est-ce vraiment toi ?	Oui.	5
On est prêts ?	Une dernière chose, Janie.	2
Michael et Lina, en tant que parrain et marraine, promettez-vous de soutenir ces parents dans l'éducation de cet enfant, de le faire baigner dans la sagesse et l'affection ?	- Nous le promettons.	1
C'est vrai ?	Je ne te l'ai pas dit, parce que, eh bien, cela semblait si important pour toi de le voir en premier.	1
Laquelle de nous deux est la pire ?	Il n'y a pas que ça.	5
Tu te souviens combien tu étais excitée quand tu nous l'as annoncé ?	On est accepté à l'université !	6
Xiomara, Peut-on parler de ce qu'il s'est passé, s'il te plaît ?	Qu'est-ce-que tu veux dire ?	5
Il a bonne mine, hein ? Il a comme un certain éclat.	Je ne sais pas, il a été si distant ces derniers temps.	4
Tu crois vraiment que j'aurais réagi à ce genre de plan ?	- Jane, écoute...	5
- Et être distant, et une sorte d'abruti exprès ?	Jane, je-j'essaie de te parler.	5
Ça va ?	Oui, je vais bien.	1
Mais est-ce que c'est ce que tu veux ?	Je ne veux rien de tout ça.	2
Je suppose que d'après cette réaction, c'est ce que tu veux ?	Merci.	5
Mais tu veux avoir ce bébé ?	Eh bien, je ne veux pas que tu subisses un avortement. Ou déménages en Russie.	4
Elle veut une photo de moi. Elle est incroyable. Est-ce que tu as du rouge à lèvre ?	Attends, une minute, s'ils font tout pour que Rose remarque que Luisa a disparu, alors Rose n'est pas celle qui l'a faite kidnapper.	6
C'est vrai que je n'ai pas eu le rôle ?	Ce n'est pas le bon moment. On tourne une scène dans laquelle je vais défier la mort.	5
Tu trouves que c'est plus excitant que l'été ?	J'ai volé ton soleil ?	5
Vous le savez, hein ?	La mode actuelle veut que les noms soient un charabia unique, simpliste et facilement mémorisable.	5
Que pensez-vous de pigeonneurs ?	J'aime bien les pigeonneurs.	1
Vous allez sortir vous amuser ? Je vous suivrai bien, cette année a été dure, j'ai besoin d'un verre.	On ira au bar de Britta quand maman nous laissera partir. C'est bon, on a fini.	1
Tu vas revenir ?	Je pense.	1
Tu vas revenir ?	Probablement.	1
Elle a dit qu'elle avait un entretien ?	Six ans. Six saisons, hein Abed ?	6
Six ans. Six saisons, hein Abed ?	L'encourage pas.	5
Et si Shirley revenait, ça changerait ton opinion ?	Elle peut revenir dans notre formule mais je vois pas ce que ça apporterait.	2
On peut arrêter l'intrigue B et se concentrer sur la A ?	Je ne crois pas aux intrigues A.	2
Est-ce que ce duo peut fonctionner ?	Ce n'est pas à moi de le dire.	4
Vous voyez, Shirley, pas Shirley, quelle importance ?	Nous ne sommes pas des formules, et je me connais très bien.	5
Les choses fonctionnent selon une certaine structure. Si on s'en écarte, on est bizarre, si on s'y tient, on est ennuyeux.	Ça n'a pas plutôt à voir avec le fonctionnement de ton cerveau ? Sans vouloir te blesser. Mais n'est-il pas bousillé ?	5
Ça n'a pas plutôt à voir avec le fonctionnement de ton cerveau ? Sans vouloir te blesser. Mais n'est-il pas bousillé ?	C'est quoi le résumé de votre saison sept ?	4
Je peux prendre ta chambre ? Enfin si tu ne reviens pas.	Je vais revenir, enfin probablement.	2
Jeff, tu vas bien ?	Je suis pris de court.	4
Quelqu'un a vu ma cigarette électronique ?	On devrait lancer une association pour les gens comme toi.	5
Tes derniers crédits en criminologie sont-ils difficiles à Greendale ?	Le seul crédit difficile à obtenir à Greendale, c'est celui de la banque.	2
Vous vous rappelez du vendeur de crack ?	Si je m'en rappelle ? Tout le monde s'en rappelle.	1
Et pourquoi je porte une couche ? C'est pour se moquer de moi ?	Vous voulez vraiment que des gens vous habillent ?	5
Vous voulez vraiment que des gens vous habillent ?	Ce serait poli d'essayer.	4
Dans cette version, tu me diras souvent quoi faire ?	Je prends des médicaments dedans ? Je suis serein et fiable. J'aime ça.	5
Mais tu vas revenir, hein ?	Peut-être.	4
Un truc amusant est arrivé ?	On s'en fiche.	4
Tu vas bien ?	C'est vraiment ce que tu veux ?	5
C'est vraiment ce que tu veux ?	Bien sûr.	1
On vous a interrompus ?	Arrête d'être grossier !	5
Vous faites un final non autorisé ? Pas cool.	Abed, je sais que ça te réconforte de tout regarder à travers des objectifs, mais on disait juste adieu à cette pièce.	2
