Question	Answer	Annotation (Label)
- Et être distant, et une sorte d'abruti exprès ?	Jane, je-j'essaie de te parler.	5
Ça va ?	Oui, je vais bien.	1
Mais est-ce que c'est ce que tu veux ?	Je ne veux rien de tout ça.	2
Je suppose que d'après cette réaction, c'est ce que tu veux ?	Merci.	5
Mais tu veux avoir ce bébé ?	Eh bien, je ne veux pas que tu subisses un avortement. Ou déménages en Russie.	4
Elle veut une photo de moi. Elle est incroyable. Est-ce que tu as du rouge à lèvre ?	Attends, une minute, s'ils font tout pour que Rose remarque que Luisa a disparu, alors Rose n'est pas celle qui l'a faite kidnapper.	6
C'est vrai que je n'ai pas eu le rôle ?	Ce n'est pas le bon moment. On tourne une scène dans laquelle je vais défier la mort.	5
Tu trouves que c'est plus excitant que l'été ?	J'ai volé ton soleil ?	5
Vous le savez, hein ?	La mode actuelle veut que les noms soient un charabia unique, simpliste et facilement mémorisable.	5
Que pensez-vous de pigeonneurs ?	J'aime bien les pigeonneurs.	1
Vous allez sortir vous amuser ? Je vous suivrai bien, cette année a été dure, j'ai besoin d'un verre.	On ira au bar de Britta quand maman nous laissera partir. C'est bon, on a fini.	1
Tu vas revenir ?	Je pense.	1
Tu vas revenir ?	Probablement.	1
Elle a dit qu'elle avait un entretien ?	Six ans. Six saisons, hein Abed ?	6
Six ans. Six saisons, hein Abed ?	L'encourage pas.	5
Et si Shirley revenait, ça changerait ton opinion ?	Elle peut revenir dans notre formule mais je vois pas ce que ça apporterait.	2
On peut arrêter l'intrigue B et se concentrer sur la A ?	Je ne crois pas aux intrigues A.	2
Est-ce que ce duo peut fonctionner ?	Ce n'est pas à moi de le dire.	4
Vous voyez, Shirley, pas Shirley, quelle importance ?	Nous ne sommes pas des formules, et je me connais très bien.	5
Les choses fonctionnent selon une certaine structure. Si on s'en écarte, on est bizarre, si on s'y tient, on est ennuyeux.	Ça n'a pas plutôt à voir avec le fonctionnement de ton cerveau ? Sans vouloir te blesser. Mais n'est-il pas bousillé ?	5
Ça n'a pas plutôt à voir avec le fonctionnement de ton cerveau ? Sans vouloir te blesser. Mais n'est-il pas bousillé ?	C'est quoi le résumé de votre saison sept ?	4
Je peux prendre ta chambre ? Enfin si tu ne reviens pas.	Je vais revenir, enfin probablement.	2
Jeff, tu vas bien ?	Je suis pris de court.	4
Quelqu'un a vu ma cigarette électronique ?	On devrait lancer une association pour les gens comme toi.	5
Tes derniers crédits en criminologie sont-ils difficiles à Greendale ?	Le seul crédit difficile à obtenir à Greendale, c'est celui de la banque.	2
Vous vous rappelez du vendeur de crack ?	Si je m'en rappelle ? Tout le monde s'en rappelle.	1
Et pourquoi je porte une couche ? C'est pour se moquer de moi ?	Vous voulez vraiment que des gens vous habillent ?	5
Vous voulez vraiment que des gens vous habillent ?	Ce serait poli d'essayer.	4
Dans cette version, tu me diras souvent quoi faire ?	Je prends des médicaments dedans ? Je suis serein et fiable. J'aime ça.	5
Mais tu vas revenir, hein ?	Peut-être.	4
Un truc amusant est arrivé ?	On s'en fiche.	4
Tu vas bien ?	C'est vraiment ce que tu veux ?	5
C'est vraiment ce que tu veux ?	Bien sûr.	1
On vous a interrompus ?	Arrête d'être grossier !	5
Vous faites un final non autorisé ? Pas cool.	Abed, je sais que ça te réconforte de tout regarder à travers des objectifs, mais on disait juste adieu à cette pièce.	2
On peut les couper pour les emmener chez nous ? Je veux dire nous-mêmes ?	Bien sûr.	1
Mademoiselle ? Je dois m'excuser.	Pas envers moi, mais plutôt envers les Amish à qui vous ayez volé le look.	6
Tu vois le mec dans le box là-bas ? Jared "Leto-tôt pour ça" ? Il veut me prédire mon futur pour payer son pourboire !	Tu n'en as pas.	5
Je vois deux "M" ?	Pétasse ! Tu planques des MM's ?	5
Max, je peux en avoir un bout ? Une miette du crumble ? Caroline ne me laisse pas manger à cause de ma séance photo.	Vite ! Ne mâche pas, ne profite pas.	1
Il ne mange pas, n'est-ce pas ? Je ne veux pas qu'il ressemble au bonhomme Michelin pendant la séance photo de ma copine.	Je n'ai rien mangé depuis mardi !	2
Je pourrais nommer Max chef-pâtissier ? Et où est ce nouveau restaurant ?	Pour l'instant, il est encore en travaux comme mon visage il y a six mois. Mais en tant que manager, vous pourrez choisir votre équipe, et je vous laisserai même débaucher Max.	4
Max, tu as entendu ça ? Un lieu phare !	Quelqu'un m'a traité de phare ? Je vous préviens que si je ne viens pas dans ce nouveau restaurant avec vous deux, je vais en parler aux RH. Rodriguez et Hector, mes psychologues.	5
Quelqu'un m'a traité de phare ? Je vous préviens que si je ne viens pas dans ce nouveau restaurant avec vous deux, je vais en parler aux RH. Rodriguez et Hector, mes psychologues.	Serais-tu intéressé de rejoindre notre équipe dans le nouveau restaurant ?	5
Serais-tu intéressé de rejoindre notre équipe dans le nouveau restaurant ?	Si tu dis encore "notre équipe", je vais devoir y réfléchir.	4
On peut se dépêcher ? Mon cousin passe à la télé aujourd'hui, et je veux savoir s'il est vraiment le père. Comme ça je pourrais arrêter de payer la pension alimentaire.	Désolée. Elle est survoltée.	5
Tu as vu les Knicks récemment ? Son aide serait la bienvenue.	Selon ma fiche de pointage, je suis là depuis six heures déjà, donc je vais aller faire une sieste.	5
On est où, dans une maison close ?	Bébé, je crois que c'est à toi.	6
Peut-on clairement établir qu'on ne fornique pas au resto ?	Ou dans l'appartement de Han.	5
Et si on en revenait au travail ?	Max et moi...	2
Pourquoi tu t'agites autant ? Y a des soldes sur les petites têtes ?	Je suis trop petit, trop gros...Choisis !	5
Joe vous a parlé de ma grosse promotion ?	Bien sûr.	1
Tu m'as vu par la fenêtre du Today Show, pas vrai ?	Tu as dit que tu étais en Amérique sur Facebook, espèce d'idiot.	2
Je suis qui, Woody Allen ? Roman Polanski ? N'importe quel réalisateur des années 70 ?	Vous avez couché avec mon innocent petit garçon ?	5
Vous avez couché avec mon innocent petit garçon ?	Pas si innocent que ça.	5
Pro ? Elle a giflé une femme, car elle portait des contrefaçons.	Je sais. J'ai encore la trace de sa main.	5
Je peux garder la toque ? Vous ne voudrez pas la récupérer. Je transpire comme un bœuf.	Ne nous virez pas à cause de Nash. On ne pouvait rien y faire.	6
Tu as vraiment besoin d'exposer 60% de ta poitrine ?	C'est pas de ma faute. Ils font ce qu'ils veulent. Celui de droite vient de se lancer dans la comédie.	1
Il est là ? Je vais chercher un menu enfant.	Ils ne viennent pas. Sa mère a trouvé les photos coquines que je lui ai envoyées.	6
"Je pars de JFK demain. Je m'envole demain matin."	S'envoyer en l'air le matin ? Ce n'est pas ce qui a mis Max dans l'embarras au départ ?	5
S'envoyer en l'air le matin ? Ce n'est pas ce qui a mis Max dans l'embarras au départ ?	OK, on aura qu'à aller a l'aéroport et les arrêter. Je vais nous acheter des billets et je les ferai rembourser, comme je fais pour les chaussures ou comme Tom Cruise avec ses femmes.	4
Mme, mettez-vous le côté s'il vous plait.	Je plaisantais. Je n'ai pas de bombe. Mais j'en suis une.	5
Puis-je voir vos billets ?	Belle journée. J'adore vos cheveux.	2
Vous allez à Paris. Première classe. Avec ce pantalon ?	Tu as acheté des billets en première pour Paris ? Tu es folle ?	5
Tu as acheté des billets en première pour Paris ? Tu es folle ?	Mes doigts ont agi seuls. C'est ma mémoire tactile de fille riche.	1
C'est trop tard pour dire que je la connais pas ?	M'dame, apportez-vous des explosifs ?	5
M'dame, apportez-vous des explosifs ?	J'ai des restes de Chipotle pour le petit-déjeuner. Est ce que ça compte ?	2
J'ai des restes de Chipotle pour le petit-déjeuner. Est ce que ça compte ?	Ça dépend de celui qui sera assis à côté de vous.	3
Tu sais ce qui ne sera pas dans l'avion ? Nous ! Nous ne partons pas ! Est-ce que tu as fumez le demi-joint que j'ai caché dans mon soutient-gorge ?	Tu as un joint ?	5
Tu as un joint ? Compte bancaire ? Tu as passé les contrôles avec de l'herbe ?	J'ai passé le CM2 grâce à l'herbe.	1
Tu es vraiment ivre, non?	Encore... quand tu as raison, tu as raison.	1
Maeve O'Brien est priée de se rendre à l'accueil. 	Nash, peut-être qu'ils vont nous surclasser du dernier rang vers le premier !	6
Tu as soudoyé un agent aérien avec un joint ? Du pain ? Ça ne valait pas le coup. Max, c'est du kidnapping.	Il n'est pas si jeune.	5
Quoi ? Ici ? On va travailler ici ? Je dois découvrir qui j'ai brutalement tué dans une vie antérieure et m'excuser.	Ça craint !	1
Ça va très bien. J'étais crédible ? Parce que je m'entraîne dans les toilettes tous les matins pendant une heure. 	Je sais, il faut que j'arrête d'y aller en même temps.	4
Salut, de quoi vous parlez ? Des tables que vous ignorez ?	On parlait des goûts de Sophie.	2
Quelqu'un aurait un couteau ?	Qu'est-ce que tu fais avec ça par ici ?	1
Sophie, votre grand-mère était gardienne de crypte ?	Qu'est-ce que vous faites ?	6
Seulement un peu ? Voilà, c'est moi qui m'énerve.	C'est le stress du mariage.	5
Vous n'avez pas toujours été lesbienne ?	Bien sûr que si. Sauf pendant ces trois ans, quand j'étais scientologue.	3
Faites un tour, mesdames, on revient dans un mois. Tahiti, nous voilà. Je fais le petit fou, les dames adorent.	On devrait appeler ces robes par leur vrai nom : la dernière collection Emmaüs.	5
Max, tu as entendu ?	Ma vie est finie.	1
Max, tu as entendu ? Des filles qui ont plus mauvais goût que Sophie. Laissez-les passer.  Maintenant, on doit rester ici et les laisser acheter les robes. J'ai retrouvé l'espoir.	Max, Caroline, par ici !	5
Ça a duré quoi, une seconde ?	J'ai fait la queue pour vous, venez !	5
Tu me dis que Versace a été assassiné mais que le créateur de cette chose court toujours ?	Je sais. Titi va nous faire un procès pour contrefaçon. Il faudrait des rouleaux de papier-toilette géants là-dessous.	1
Ce n'est pas fini ?	Si jamais vous trouvez un Xanax, il est à moi.	6
Sophie, vous en êtes sûre ?	Oui, évidemment.	1
Des pleurs dans une cabine d'essayage ?	Les grosses fesses sont à la mode.	5
Tout va bien ?	Ce n'est pas moi mais ça va.	3
C'est vrai ? Dans ce cas, elle devrait le dire. Maintenant.	Sophie, je pense que vous avez un style très personnel.	5
Han est dans le micro-ondes et tu vas l'allumer ?	On a essayé, tu sais bien qu'il n'entre pas. Le seul truc pour lequel il est trop grand. 	2
Attends, c'est le Warsaw Times ? Je croyais qu'on parlait du New York Times.	Le New York Times ? Celui-ci est beaucoup plus exclusif.	1
- Ça a duré quoi, une seconde ?	- Oui. Tu viens de passer du bonheur à la Pologne.	1
On va toujours à la pizzeria ce soir ? Je ferme le resto plus tôt pour ton anniversaire, et pas parce que la ville enquête sur cette histoire de moisissures.	Absolument.	1
Vraiment ? Je croyais que le meilleur ami de la femme était quelqu'un de plus gros qu'elle.	C'était à ma grand-mère russe.	5
Sophie s'y attend ?	Bien sûr. Elle n'aime plus les surprises depuis que sa maison familiale a été brûlée par un ouvrier mentalement instable.	1
Un préservatif plein de viande ?	C'est une Lamborghini ? Attendez. C'est ma Lamborghini ?	6
C'est une Lamborghini ? Attendez. C'est ma Lamborghini ?	Oui, une Lamborghini Aventador Roadster.	1
Pourquoi on ne nous laisse jamais rien ?	C'est une voiture de sport à 450 000 $.	5
Je t'ai toujours plus aimée que Max. Tu sais ça, hein ? 	Vraiment ? Parce qu'hier je t'ai entendue crier à Max "Caroline aura 47 ou 48 ans ? Parce qu'elle agit comme si elle avait 65 ans."	5
On t'a acheté un garçon ? Vous étiez riches !	La voiture est juste là et on peut même pas l'utiliser. 	6
Je peux te demander un service ?	Tu ne prendras pas la voiture pour faire ta demande à Sophie.	2
Mais on peut quand même la conduire ? J'utilise ma crème depuis un mois.	C'est quoi la règle n°9 du Club Lanborghini ?	5
T'as recommencé. Tu m'as droguée, c'est ça ?	Évidemment !	1
T'as un stylo et du papier ?	Tu savais que je ne voulais pas le faire !	5
Tu as pris une voiture de 450 000 $ une voiture qu'on est même pas sensées toucher pour faire une virée dans les Hamptons ?	Tu voulais venir ici.	1
Tu as traversé la dune jusqu'à la plage ?	J'ai pas fait exprès.	3
Il y a des éraflures ? Descends et aide-moi à chercher des éraflures.	Tu disais que t'étais plus drôle dans les Hamptons.	5
Comment ça "oh oh" ? On est bloquées dans le sable ?	Tu as correctement identifié le sens de "oh oh".	1
Tu sais ce que tu es ? Imprudente.	Tu sais, tout ce temps, je croyais que t'étais une garce "marche ou crève".	5
Tu googles "garce marche ou crève" ?	J'aimerais bien mais je n'ai que deux barres.	2
Tu stockes des centimes, et je sors de "Tout à 1 euro" les mains vides ? Là je suis en colère.	Prépare-toi.	5
Comment t'as fait ? T'as pété pour nous sortir de là ?	Sérieusement, Caroline, accélère.	5
On se la joue Thelma et Louise ?	Quoi, on se jette d'une falaise ?	5
Vous avez rendu la voiture à temps ce matin ?	Juste à temps, grâce à Caroline.	1
Tu n'as pas eu d'amende ? Hier, j'ai été arrêté pour être entré dans un magasin bio.	J'ai encore du sable dans les cheveux.	6
Il fait sa demande au diner ? Il va faire quoi ? Lui passer l'agneau au doigt ? 	J'aime ça. Tu sais, je voulais te dire non et te faire languir pendant des heures, mais...	6
Salut, je suis Murray. Vous avez commandé du curry de tomates à la hâte ?	Je sais pas. Ça a déjà été payé ?	3
Je sais pas. Ça a déjà été payé ?	Alors, oui, on l'a fait.	1
Il y a des samoussas là-dedans ?	Tu veux des naans ? Parce que celui qui les a commandé n'en aura que naan.	5
Vous avez vu Murray avec notre curry de tomates à la hâte ?	Non, désolée.	2
Son téléphone a une application de fertilité ? Mon téléphone est si vieux qu'il peut pas tomber enceinte.	Ça nous dit quand elle est le plus fertile. En fait, un petit singe nous le dit.	1
C'est quoi son nom ? George, le trop curieux ?	Oleg, c'est le moment.	6
Ça te dérange si j'utilise ton ventre comme un plateau pour pouvoir manger pendant qu'on le fait ?	Ça m'a déjà dérangé ?	2
Ça m'a déjà dérangé ?	Maintenant, je dois oublier tout ça juste pour surmonter cette journée.	6
OK, Max, cette fois, tu peux faire le truc d'explosion de la main avec lui ? J'ai déjà essayé, mais je suis juste pas bonne aux trucs de mains. Demande à n'importe qui en prépa à Yale.	Tente juste le coup ! Tu croyais aussi ne pas pouvoir manger de la bouffe qui avait été piétiné.	5
Il y a un cours que je peux prendre ?	Je vais chercher le reste du loyer.	5
Alors, c'est quoi ce nom "Mookie" ? Un diminutif ? Un prolongement ? Max, grouille-toi, meuf !	OK, tu devrais avoir 800 $ et voilà le reste.	6
Tu me fais payer le loyer plus cher ?	C'est pas du tout ça.	4
Et Max Black est-il même ton vrai nom ?	C'est un vrai nom.	4
Tu peux pas lâcher l'affaire ? D'accord, j'ai un peu abusé. Tout le monde abuse un peu. Regarde ce que Dieu a fait à Han.	Ne m'embarque pas dans ton petit Pretty Little Liars.	5
Pourquoi ? Pour qu'on soit à la même taille ?	Bien joué, Caroline.	2
Tu vois, Han ? Travail d'équipe.	OK, lisons nos dernières critiques sur Internet.	1
Alors tout le monde se fiche que Max me volait 25 $ par mois ?	C'est exact.	1
Tu lui as fait payer plus, à lui aussi ?	Vous allez découvrir où on est, bien assez tôt.	6
Non, c'est pas l'une de ces "escape room" où on nous enferme dans une pièce, où on doit bosser en équipe pour sortir ?	Bienvenue dans l'Escape Room, où on vous enferme dans une pièce, où vous devez bosser en équipe pour sortir.	1
Quoi ? Nous te foutant une raclée ?	Ensemble, évidemment.	1
Alors si je comprends bien. Les gens sont volontaires pour être enfermés dans une petite pièce ? Vous voyez, ça, c'est un truc de blancs.	C'est une manière fun d'apprendre à travailler ensemble pour résoudre un problème.	1
Je dois m'échapper de ça aussi ? Ça fait partie du jeu ?	C'est un mauvais moment pour te dire que c'était le plan de ton cheval ?	1
C'est un mauvais moment pour te dire que c'était le plan de ton cheval ?	Avant de commencer, il me faut vos téléphones pour que vous n'utilisiez pas Google.	5
C'est un truc pour le travail d'équipe et tu n'es pas dans l'équipe. - Pas vrai, Han ?	- Elle peut rester.	2
C'est notre version de la réconciliation sur l'oreiller ?	Je ne vois rien.	5
Je croyais ça avant. Vous savez où ça m'a mené ? En Pennsylvanie, sans voiture.	Celui de Schwarzenegger est grand, celui de Fox petit.	6
Sérieux, t'es encore là-dessus ? Ma sœur a perdu ses deux pouces dans un accident de moissonneuse, et elle en a pas fait autant un plat. 	Voilà 25 $. De l'argent secret, alors que ça reste secret.	6
Ces gros jumeaux ? Car ça veut rien dire, et on dirait qu'ils étaient défoncés souvent.	OK, Oleg, enlève ton pantalon.	5
On pourrait être plus classe et attendre d'être dans le taxi ?	Quoi ? On va le faire au-dessus de tasses à thé. C'est plutôt classe.	2
Tu sais quoi ? Pulvérise ce truc dans mes yeux.	Max, regarde.	6
Ça va ?	Oui, je crois.	1
J'ai sauté dans un trou pour des sentiments ?	Je suis vraiment blessée, Max. Depuis quatre ans.	1
On peut ré-éteindre les lumières ?	Seigneur, aidez-moi !	4
- Et tes vœux ?	- Arrête !	2
- Une carte de vœux ?	- Je n'écoute plus !	2
Tu l'as laissé aller se coucher ?	Il était de très bonne humeur, il avait jamais vu Maman, j'ai raté l'avion.	1
- C'est une fête ?	- Oui. Tu veux un muffin ?	1
Guy, on peut parler ?	Et comment.	1
On t'a déjà dit que tu étais un homme merveilleux ? 	Tu me le dis maintenant, non ?	4
Tu me le dis maintenant, non ?	C'est vrai.	1
Frankie, on se refait une partie de bataille navale plus tard ?	Je ne comprends pas.	4
Je viens t'aider ? Je sais que tu appréhendais. Je t'apporte mon étiqueteuse.	Je l'ai déjà, et je pensais que j'appréhenderais, mais mon travail de limites avec Sol a été très efficace, et je suis prête à tourner la page.	2
- Content, papa ?	- Faut pas pousser.	2
C'est ce qui est arrivé au garçonnet hollandais de ma mamie ? Bonjour, Hans.	Ah oui. Je l'ai cassé.	1
- Oui, hein ?	Mon Dieu !	5
Je leur laisse de la sauge pour se débarrasser de notre ju-ju ?	- Ça ira.	2
Avant de partir, et si on allumait la bougie de shabbat une dernière fois ?	- Ce serait sympa.	1
C'est bien ?	C'est bien.	1
Vu qu'on est avocats ?	Je comprends pas, tu veux qu'il signe ?	5
Je comprends pas, tu veux qu'il signe ?	Allez, c'est pas si mauvais !	1
Tu veux dire là où tu cites un précédent ?	Bien raisonné.	1
Tu l'attaques en justice pour son amour ?	Je t'avais dit que c'était pas prêt.	1
- J'ai écrit ça ?	- Oui. Soit ça, soit je suis amoureuse de Sol.	1
Ça va la faire régresser ! Tu es vraiment un...	Schmuck ? C'est le mot que tu cherches ?	4
- Tu sais où elle est ?	- J'ai une intuition.	4
- Tu vas le dire à Robert ?	- Et toi ?	4
- Et toi ?	- Il ne me le pardonnera jamais.	2
Ton mari te dit qu'il est amoureux d'un homme, et tu crois qu'il y a de l'espoir ?	J'ai pas dit que c'était logique.	1
Ça fait mal.	Tellement. 	1
- Surprenant, non ?	- Très.	1
On va laisser ça ?	C'est pas la première maison que je quitte aujourd'hui !	1
