Question	Answer	Annotation (Label)
- Vous allez bien ? - Il s'étouffe !	Il saigne !	2
Pouvez-vous venir, s'il vous plaît ?	Elle est morte depuis quelques heures.	5
L'état de Mme Rogers a empiré ?	En quelque sorte.	1
- Morte ?	- Durant son sommeil.	1
Il y en a huit, n'est-ce pas ? Huit statuettes pour les huit personnes vivantes. Dites-moi que j'ai raison.	Je suis sûr qu'il y a une explication rationnelle à cela.	4
Sorti pour patauger, général ?	Qu'êtes-vous, Lombard ? Un mercenaire ? Un tueur à gages ? Un soldat ?	6
Qu'êtes-vous, Lombard ? Un mercenaire ? Un tueur à gages ? Un soldat ? Pas d'une armée que je reconnaîtrais, et pourtant, un soldat tout de même.	Vous n'avez pas à vous inquiéter de ce que je suis.	4
Il y a toujours un moment, n'est-ce pas ? Avant l'attaque, la montée, le bombardement, le chaos. Un moment de calme absolu.	Écoutez, ne dirait-on pas ce moment ?	5
Écoutez, ne dirait-on pas ce moment ?	Je n'ai jamais été un homme qui aime le calme, général.	2
Rupert ?	Qui est-ce? Il est un peu occupé à mourir, Agent Ryan.	5
Mais une Interpol agent-- que ce genre de risque, est-ce pas?	Rupert a dû trébuché sur quelque chose	1
Vous effectivement parlé à Python? Vous avez entendu la voix du bâtard au téléphone?	Ouais.	1
Donc, si il a fait cela avant, vous devez avoir ces autres armes à feu ?	Quai, six.	1
Pouvons-nous y arriver ?	Rupert Flemming a été la rencontre avec quelqu'un, Donc j'avais Interpol envoyer une photo de son ordinateur portable.	6
Est-il possible il piraté Interpol ?	Voilà ce que je pensais.	1
Je ne sais pas, une histoire à propos de terrifiant bactéries qu'il a trouvé?	Mais il avait aussi nous dire que si nous ne pouvons pas trouver un chef de file dans la preuve, nous devons nous pencher ce qui manque.	6
At-il montrer à la réunion ?	Vous ne pouvez pas répondre aujourd'hui Trop risqué.	2
Il a le vrai nom de Python?	L'anonymat est tout dans le Web profond. Ce Darko touche la clé à I.D-ing et la mise en cage ce serpent.	4
Me demandez-vous pas de suivre les ordres, Avery ?	Je vous demande à attendre avant que vous faites.	4
Hé, n'est pas qu'un de vos informateurs confidentiels ?	Frais !	1
Est votre famille de Toulouse ?	Ouais.	1
Je pense que ce, comme, contre la loi ou quelque chose, non ?	Désolé, Bernie.	1
Je suis désolé ...sommes-nous courir après un fantôme ?	Plus comme une identité virtuelle créé par un hacker.	2
Vous souvenez-vous Paris ?	Oh ...	4
Teddy ? Reste avec moi.	Avery, il n'y a pas de tir.	6
de Python certainement à la hauteur de sa réputation, est-il pas ?	Pablo Escobar du Web profond.	1
Avons-nous tout suivi de la chance la source des commandes à distance de l'arme ?	Il a reçu des commandes à travers le Web profond.	4
Une version bêta début sans informations de connexion ? Il est à peine vaut rien.	Bien. ( soupirs )	1
Fichier texte ? Mettez ça sur l'écran.	Qu'est-ce que c'est que ça ?	5
At-il jamais mentionner la première fois il a été donné le nom Python ?	Il a fait.	1
Rav -- ?	Je suis déjà sur lui, D.B.	1
Avez-vous une photo de Dante ?	Je l'habitude d'avoir une boîte à chaussures pleine. Mais je ne sais pas, je juste -- Il a juste obtenu trop douloureux.	2
Est-ce que mon Dante ?	Vous avez besoin à l'étape aside --	6
Avez-vous entendu que ? Pouvez-vous imaginer le montant de la douleur vous avez causé cette pauvre femme ?	La maison de ma mère. Vous êtes dans ma maison.	5
L'ingénierie sociale et d'espionnage sur votre propre mère ? Il ne va pas inférieur à celui.	Maintenant, maintenant, Ryan Avery. Vous avez aucune idée qui vous avez affaire.	5
Ma chambre ? Vous saisir les pailles, Directeur adjoint Ryan. Tu n'as rien !	Un modèle légèrement vêtues sur ton mur ? Voilà aussi proche que vous jamais obtenu d'une vraie fille.	5
Vous avez trois ensembles de feuilles plié dans votre placard, à la main. Est-ce parce que vous étiez encore pipi au lit lorsque vous étiez adolescent ?	Fermez juste votre bouche!	4
Attendez, vous vous-pensez Squamata est hébergé ici ?	Python suffit de laisser échapper quelque chose.	1
Alors, est-ce cela ?	Il ya une seule façon de savoir.	1
Hé, vous soyez prudent avec ça, d'accord ? Il est seulement le plus important morceau de matériel J'ai jamais mis mes mains sur	Je comprend.	1
Toute idée sur la façon Python obtenu que la lame dans son ancienne chambre ?	Ouais, il a noté l'ordinateur de sa propre mère.	1
Tu rigoles ?	Il serait déjà slurring son chemin par quelque chanson à boire il a juste composé.	5
C'est pour ça que tu ne m'as pas dénoncé, hein ?	J'ai vérifié dans ses comptes. Sutton doit beaucoup d'argent.	5
Ça semble sympa, d'accord ? J'apprécie l'offre, vraiment, mais je ne veux pas m'imposer.	Pour avoir sauvé ton cul, je pense que je mérite d'avoir la seule personne à mes fiançailles à qui je veux vraiment parler.	6
Saviez-vous qu'une Commission Présidentielle enquêtait sur les attaques ?	Il est temps de partir.	4
Ce justicier pense que je mérite de mourir ?	Une escorte est en route. Je vous appelle quand elle sera là.	5
Ressler a donné son accord ?	Mes hommes vont vous conduire à l'avion. De là, vous partirez vers Quito.	5
Donc tout ça, c'est juste pour couvrir vos arrières ?	Je doute que Hitchin soit d'accord avec vous.	6
Je peux vous donner un petit conseil ?	Je vous en prie.	1
Avez vous des preuves que la Cabale existe ?	Des noms de membres de la Cabale ont été publiés.	1
Pensez-vous qu'elle est innocente ?	Mon travail n'est pas de déterminer sa culpabilité ou son innocence.	4
deadnotalive.org ? C'est le vrai nom ?	Quelqu'un avec le pseudo "Arioch Cain" à mis sa tête à prix.	4
Tu peux enlever le site ?	Il est décentralisé, en cache sur plusieurs serveurs à travers le monde. J'en enlève un, et deux de plus réapparaissent.	2
Il fond dans la bouche, n'est-ce pas ?	Ou ma main. Je suis bon dans tout les cas.	1
Dites-moi, Mr Buckley, croyez-vous au coup de foudre ?	Je ne sais pas. Je pense que l'amour est plus un goût acquis.	4
Et l'avez vous déjà acquis, l'amour ?	Oui. Une fois.	1
Peut-être que ça le sera. Qui sait ?	J'ai aimé Asher Sutton dès l'instant où j'ai posé les yeux sur lui.	5
J'ai pas été assez clair de comment ça marchait ?	Je l'aurai vendredi.	5
- T'es sur ?	- Oui , tout va bien.	1
Il a dit que c'était bon.	Je l'ai entendu.	1
On en a pas fini.	On dirait que je me suis fait un nouvel ami.	6
C'est le créateur du site ? Vous êtes Gavrilo Princip ?	Son vrai nom est Gavin Delgado.	1
Donc vous ne partagez pas l'opinion de l'agent Ressler qu'elle soit innocente ?	Elizabeth Keen est un agent dormant Russe.	4
Vous ne me croyez pas ? Essayer une couche de quatre UDP / TCP dans la pile OSI.	Agent Navabi ?	6
Vous ferez quoi ? Me cibler avec une attaque DOS ?	En fait, je pensais plutôt à un million de requêtes répétitives.	2
Tu t'es mis dans le pétrin, c'est ça ? Raconte-moi. Laisse-moi t'aider.	Qu'est-ce que tu connais de la boxe clandestine ?	5
Russes ?	J'ai engagé un detective privé pour voir si un accord était possible. Ils ont trouvés des morceaux de lui le long d'une rivière.	6
Est-ce-que tu viens juste de dire que nous devons la tuer ?	Aram, écoute-moi très attentivement. C'est ce que j'ai besoin que tu fasses.	5
L'agent Ressler sait ce qu'on fait ? Il sait pour l'agent Keen ?	J'ai appelé, mais il témoigne toujours devant la Commission.	2
Ils vont venir pour toi, tu sais ?	J'y compte bien.	1
Arioch Cain ?	Vous ?	1
Vous ?	On dirait que vous avez vu un fantôme.	5
Oh, mon Dieu. C'est... c'est du sang sur ton col ?	Qu'est-ce que tu as fait ?	6
Lui en avez-vous donné trop ?	Mlle Claythorne, je vous ai prévenu sur le fait de devenir hystérique.	5
Général, avez-vous déplacé les statuettes ?	- Quoi ?	5
Désirez-vous de l'attention ? - N'importe quel genre d'attention ?	- De quoi parlez-vous ?	2
Pouvons-nous simplement déjeuner ?	Ce fut une affreuse nouvelle concernant Mme Rogers.	2
- Plus de chirurgie, alors, docteur ?	Les gens ne meurent pas sans raison !	1
- Et si je le faisais ?	Je ne veux pas être fouillé comme un criminel !	2
Est-ce vrai ?	J'ai eu des problèmes de santé, oui.	1
Général, allons-y ! Juste des calmants légers.	Comme je l'avais dit.	1
Vous pourriez peut-être m'appeler John.	Merci, John.	1
Vous avez déjà eu le sentiment d'être chassé, Pansu ?	Arrêtez de m'appeler comme cela.	5
Vraiment ? Parce que M. Owen, peu importe qui il est, en sait beaucoup sur nous.	Pas sur moi en tout cas.	2
Vous ne l'avez jamais touché ?	Je n'ai jamais voulu m'approcher de l'un de ces gros porcs.	1
Votre valise est-elle faite ?	Elle mourut de la grippe espagnole, après la guerre.	6
Amenez quelques chaises, voulez-vous.	Que se passe-t-il ?	5
Je ne peux pas dormir dans ma chambre, non ? Mon épouse.	Oui, évidemment Bien sûr.	1
Votre employeur ? Votre employeur est fou.	Quoi qu'il en soit, il ne me reste que cela.	5
Elle s'est suicidée ?	Cela a même fait la une du journal local.	1
Marston a reçu du cyanure, pourtant. - N'est-ce pas, Pansu ?	- Du cyanure ? Je suis presque sûr de cela.	1
Quoi, le juge ?	Connu comme un juge impitoyable.	1
Quelqu'un a fait cela ?	Ce n'est pas un fichu accident.	1
Je peux imaginer croiser un docteur... un juge, mais quelqu'un comme M. Lombard ?	Nous nous sommes croisés à présent.	1
Nous nous sommes croisés à présent. N'est-ce pas ?	M. Lombard, Blore m'a dit que vous aviez un revolver.	5
Il a une arme ?	Je l'emmène partout.	1
Quelqu'un reconnaît la voix de M. Owen sur le disque ?	Oublions-nous le pistolet ici ?	5
Eh bien, maintenant, elle s'est tût, n'est-ce pas ?	C'est lui qui ôte les statuettes.	6
Puis-je ? J'apprécie les tâches domestiques.	Elles sont relaxantes.	1
Vous avez réellement faim ?	C'était une tâche dure...que de s'occuper de Rogers.	1
Qui, Wargrave et Armstrong ?	Attendez-moi ici.	1
- Et vous l'avez trouvé ! Ou peut-être que non. Vous trembliez comme une femme, c'était de la comédie, n'est-ce pas ?	Je n'ai rien fait à Rogers.	2
- Vous diriez cela, non ? Comme vous avez dit que votre arme a été volée.	Vous êtes vraiment un fichu idiot de première catégorie, et de niveau cinq étoiles avec ça.	5
Vous aimez oncle Hugo, n'est-ce pas ?	Oui.	1
Serez-vous ma tante ?	Oui.	1
Prête, ma vieille ?	Prête ? Je ne pense pas que Mlle Claythorne puisse frapper la balle.	6
Allumer un feu sur la pointe, demandant de l'aide ?	Pas avec ce temps.	2
Et si je l'avais, je ne vous tuerais pas tous d'un coup, non ?	- Comment pouvons-nous le savoir ?	4
- Car c'est un par un, selon le poème, n'avez-vous pas fait attention ? Et il n'est mentionné nulle part un pistolet, n'est-ce pas ? Espèce d'imbécile, crétin !	Je vous suivrai.	6
Est-ce vrai ?	Arrêtez de m'appeler comme ça.	4
Est-ce vrai ?	J'avais le pouvoir de condamner à mort des hommes et femmes pour leurs crimes.	1
Avez-vous vu celle d'Edward Seton ?	Je me souviens d'Edward Seton, dans les journaux.	4
Arrêtez, voulez-vous ? Arrêtez !	Vous pensez qu'on en a pas assez de vous voir... haleter, fumer... vous agiter et faire les cent pas.	6
Quoi, vous pensez que j'y ai fait quelque chose ? Je vais chercher une autre bouteille qui n'a pas été ouverte.	- J'ai besoin d'eau.	6
Un lustre dans la chambre ?	Ils sont snobs, non ?	1
Tué par balle ? - Vous êtes sûr ?	- Regardez-le !	1
Que ça vous serve de leçon. Soyez plus discret. Vous ne voulez pas finir avec un nez en sang ou vous déchirer l'intérieur parce que ce n'est pas marrant pour vous d'avoir pleins d'entailles.	Merci.	1
Vous reviendrez pour ça ?	Je dois y aller.	1
Si Philip avait l'arme auparavant, il l'aurait pris avec vous quand vous êtes allé chercher Armstrong, n'est-ce pas ?	Vous auriez pu vous faufiler de votre chambre et l'y mettre.	4
Pourquoi est ce que c'est toujours vous qui comprenez ? Résoudre le puzzle. Armstrong l'avait dit.	La nuit a été longue.	1
Sommes-nous déjà morts ?	Quoi ?	5
Je refuse de passer une autre nuit ici, vous ?	Je pense qu'on est surveillés.	2
Vous vous êtes retournée un moment et vous ne pouviez pas rattraper Cyril ?	- Hugo, vous ne pensez pas...	2
Il n'y en a plus pour longtemps, hein ?	Pourquoi faites-vous ça ?	5
Elle a une adresse ?	Ouais.	1
Katie, as-tu appelé cette ouvrier ?	Steven ?	4
- On sait qu'il a besoin de temps.	- Des rénovations ?	6
Chef, je peux vous parler ?	Ouais.	1
Et si je trouvais un moyen de réparer ça ? Que vous sauviez la face, en gagnant de l'argent ? Une grosse quantité d'argent.	Et bien, je constate souvent que l'argent à un effet positif sur mon état d'esprit.	6
Où les avez-vous trouvés ? À l'intérieur du corps, n'est-ce pas ? Elle les a avalés ?	Vous les voulez, ou pas ?	5
Vous les voulez, ou pas ?	Êtes-vous sérieux ? Vous connaissez la valeur de ce lot ?	5
Êtes-vous sérieux ? Vous connaissez la valeur de ce lot ?	Ouais.	1
Avez-vous trouvé qui a fait ça ?	Écoutez, vous avez votre argent maintenant. Quelles sont les chances que vous me fassiez une faveur ?	5
Et cela clôt cette affaire ? Pour de bon ?	Ouais.	1
Vous vous sentez mieux d'avoir arrangé les choses ?	Tu l'as blessée ?	4
Tu l'as blessée ?	Qui ?	5
Alors ?	Pourquoi j'aurais fait ça ?	4
Megan... as-tu peur de moi ?	Manifestement, non.	2
Comment le travail de miel? Les choses de mieux en mieux au bureau ?	Maman, je ne veux pas pour parler de cela.	4
Non. Ah bon ?	Je sais. A propos du temps, non ?	1
Je sais. A propos du temps, non ?	A propos du temps pour quoi ?	5
Est-il clair ici pour vous ?	Ce mieux ?	6
Monsieur ? Monsieur, êtes-vous d'accord ? Je dois ESU à 1,298 Horizon Cour.	Je l'ai vu. Il a tué Isabel.	5
Toute chance il a laissé des empreintes digitales ?	Malheureusement, il ne ressemble pas à elle.	2
Krumitz, vous voyez cela ?	Quoi ?	4
Isabel ?	Tu me manques vraiment les gars.	5
Vous souvenez-vous de son visage ?	Je pense qu'il se détourna.	2
Pensez-vous il pourrait être étendu pour vous ?	Il est très fragile. Je ne suis pas sûr que tout est liées à ce crime. Mais il n'y a rien dans son comportement ou le comportement qui indiquent à moi il fabrique qu'il a son histoire.	2
Tu vas répondre à cela ?	Nan.	2
Pouvez-vous ?	Ouais.	1
Les gars ?	Oh oui.	1
Cette chose est connecté à l'Internet ?	Vous êtes à la recherche au niveau du dispositif que les logiciels malveillants chargé sur l'ordinateur portable d'Isabel.	1
Un "buddy" ? hein?	Bien, si Isabel et son petit ami Ethan utilisé ce jouet à continuer leur relation sexuelle après elle a déménagé à Tampa pour le travail.	6
Manage à Trois ?	Chaque fois Isabel et son petit ami a fait l'acte, ce troisième dispositif est venu en ligne.	6
Attendez, vous dites ... quelqu'un détourné Signal de sexe sans fil de Isabel et a été ... ce qui, en regardant ?	Eh bien, pas exactement.	2
L'achat d'un jouet sexuel était maladroit ... mais de la lingerie était tout à fait naturel?	Eh bien, maintenant ...	4
Brody, je suis votre frère, d'accord ? Je besoin de votre aide sur ce coup.	( soupirs ) Je ne peux pas vous aider, en Jordanie.	2
Attendez, Krummy, vous voir cela ?	Cela dit quelqu'un d'autre piraté Isabel vidéo-chat programme WeDial.	1
Tu rigoles ?	Notre objectif peut-être, s'immiscer dans quelqu'un.	2
Pouvez-vous saisir un de Tristan Jenkins brosses à dents et obtenir pour D.B. Russell dans le bureau de terrain ? Regardez, un simple test d'ADN devrait nous dire si notre tueur de Tristan.	Ouais, mais avec dix moniteurs ? Je veux dire, il est probablement regarder plus que juste Isabel.	6
Hé, mec ... Vous aimez ?	Ouais.	1
Si on vous donnait occasion pour aider Francine avant elle a eu des ennuis, auriez-vous ?	Je l'aurais fait tout pour l'aider.	1
Alors, Tristan fait quoi ? Collecte des moments heureux de la vie de ses victimes ?	Ma maman et papa sont toujours mariée.	6
Tristan pense cette collection étrangers de hasard sont ses proches ?	Pour lui, ils ne sont pas étrangers au hasard.	1
Mais je suppose que le sang et la famille ne signifie pas grand-chose de quoi que ce soit à vous maintenant ?	Regardez, cela est faux, en Jordanie.	2
Vous êtes sûr que ce soit tout ?	Je pense que oui.	1
